face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch
20.0	male	black	2.6096299243931558	smiling	043	sub-01	1	1	043_smiling	0
22.0	female	west_asian	3.820533227218464	neutral	066	sub-01	1	1	066_neutral	0
20.0	male	black	2.6096299243931558	neutral	043	sub-01	1	1	043_neutral	0
27.0	female	white	3.504576203740549	neutral	144	sub-01	1	1	144_neutral	0
40.0	male	white	1.868682849184242	smiling	172	sub-01	1	1	172_smiling	0
28.0	male	east_asian	1.5563072025467568	neutral	005	sub-01	1	1	005_neutral	1
24.0	female	black	3.0955033824114606	neutral	099	sub-01	1	1	099_neutral	0
30.0	female	black	2.7345801830481498	smiling	062	sub-01	1	1	062_smiling	0
26.0	female	white	4.854755272582571	neutral	027	sub-01	1	1	027_neutral	0
40.0	male	black	2.408674890569041	smiling	061	sub-01	1	1	061_smiling	0
24.0	female	east_asian	2.9076800636689217	neutral	034	sub-01	1	1	034_neutral	0
21.0	male	black	2.969757262236371	smiling	137	sub-01	1	1	137_smiling	0
25.0	female	black	3.8583366494230003	neutral	126	sub-01	1	1	126_neutral	0
27.0	male	black	3.5523278949462793	smiling	042	sub-01	1	1	042_smiling	0
20.0	female	white	3.950258654994031	neutral	091	sub-01	1	1	091_neutral	0
31.0	female	east_asian	3.395941106247513	smiling	087	sub-01	1	1	087_smiling	1
31.0	male	west_asian	1.9538400318344609	neutral	070	sub-01	1	1	070_neutral	0
40.0	female	west_asian	1.5777954635893354	neutral	038	sub-01	1	1	038_neutral	0
24.0	female	east_asian	4.409868682849185	smiling	030	sub-01	1	1	030_smiling	0
32.0	male	white	2.389176283326701	neutral	092	sub-01	1	1	092_neutral	0
19.0	male	white	2.243931555909272	smiling	130	sub-01	1	1	130_smiling	0
21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-01	1	1	036_neutral	0
22.0	male	black	2.767608436132113	smiling	044	sub-01	1	1	044_smiling	1
25.0	female	west_asian	2.6756864305610826	smiling	064	sub-01	1	1	064_smiling	0
31.0	female	white	2.1822522881018704	smiling	102	sub-01	1	1	102_smiling	0
36.0	female	white	2.754874651810585	smiling	011	sub-01	1	1	011_smiling	0
54.0	female	white	2.286908077994429	smiling	136	sub-01	1	1	136_smiling	0
21.0	male	black	2.969757262236371	neutral	137	sub-01	1	1	137_neutral	0
19.0	female	white	4.298846000795861	smiling	100	sub-01	1	1	100_smiling	1
