trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_name	task_probe	onset_abs	duration
0.0	0.05490147545333457	baseline	0.0		701		baseline	0.0	70.31323229335248	5.848609367076278
0.0	2.003746287218746	pulse	0.0	t			baseline	0.0	72.2620771051179	
0.0	4.003660561203105	pulse	0.0	t			baseline	0.0	74.26199137910226	
0.0	5.903510842529613	ISI	1.0		7		baseline	0.0	76.16184166042876	0.12498309627881099
1.0	6.028493938808424	corridor	0.0		44	place	corridor-46.jpg	0.0	76.28682475670757	0.3749840018354007
1.0	6.018096640988915	pulse	0.0	t		place	corridor-46.jpg	0.0	76.27642745888807	
1.0	6.403477940643825	ISI	1.0		595	place	corridor-46.jpg	0.0	76.66180875854297	5.016533650479687
1.0	8.00357694815375	pulse	1.0	t		place	corridor-46.jpg	0.0	78.2619077660529	
1.0	10.003524425877004	pulse	1.0	t		place	corridor-46.jpg	0.0	80.26185524377615	
2.0	11.420011591123512	body	0.0		46	body	body-34.jpg	0.0	81.67834240902266	0.38329791601245233
2.0	11.803309507135964	ISI	1.0		235	body	body-34.jpg	0.0	82.06164032503511	2.0166480524494546
2.0	12.0034688850792	pulse	1.0	t		body	body-34.jpg	0.0	82.26179970297835	
3.0	13.819957559585418	instrument	0.0		46	object	instrument-118.jpg	0.0	84.07828837748457	0.3832813141434599
3.0	14.003361727560332	pulse	0.0	t		object	instrument-118.jpg	0.0	84.26169254545948	
3.0	14.203238873728878	ISI	1.0		235	object	instrument-118.jpg	0.0	84.46156969162803	2.0166320542857648
3.0	16.00334874791679	pulse	1.0	t		object	instrument-118.jpg	0.0	86.26167956581594	
4.0	16.219870928014643	word	0.0		46	character	word-34.jpg	0.0	86.4782017459138	0.38329127526503726
4.0	16.60316220327968	ISI	1.0		235	character	word-34.jpg	0.0	86.86149302117883	2.016636883919091
4.0	18.003281736736426	pulse	1.0	t		character	word-34.jpg	0.0	88.26161255463558	
5.0	18.61979908719877	corridor	0.0		46	place	corridor-107.jpg	0.0	88.87812990509792	0.38330304749979405
5.0	19.003102134698565	ISI	1.0		355	place	corridor-107.jpg	0.0	89.26143295259772	3.0165913042428656
5.0	20.003232232981645	pulse	1.0	t		place	corridor-107.jpg	0.0	90.2615630508808	
6.0	22.01969343894143	word	0.0		45	character	word-92.jpg	0.0	92.27802425684058	0.38330516046426055
6.0	22.010017869648436	pulse	0.0	t		character	word-92.jpg	0.0	92.26834868754759	
6.0	22.40299859940569	ISI	1.0		235	character	word-92.jpg	0.0	92.66132941730484	2.016645939484988
6.0	24.003102436550762	pulse	1.0	t		character	word-92.jpg	0.0	94.26143325444991	
7.0	24.41964453889068	corridor	0.0		46	place	corridor-105.jpg	0.0	94.67797535678983	0.3832961048992729
7.0	24.802940643789952	ISI	1.0		235	place	corridor-105.jpg	0.0	95.0612714616891	2.016631148729175
7.0	26.003054442056055	pulse	1.0	t		place	corridor-105.jpg	0.0	96.2613852599552	
8.0	26.819571792519127	word	0.0		46	character	word-87.jpg	0.0	97.07790261041828	0.3832855400733024
8.0	27.20285733259243	ISI	1.0		235	character	word-87.jpg	0.0	97.46118815049158	2.0166272246506196
8.0	28.002982903093653	pulse	1.0	t		character	word-87.jpg	0.0	98.2613137209928	
9.0	29.21948455724305	child	0.0		46	face	child-94.jpg	0.0	99.4778153751422	0.383313310473568
9.0	29.602797867716617	ISI	1.0		235	face	child-94.jpg	0.0	99.86112868561577	2.0166317524326587
9.0	30.002924343772975	pulse	1.0	t		face	child-94.jpg	0.0	100.26125516167212	
10.0	31.619429620149276	child	0.0		46	face	child-94.jpg	1.0	101.87776043804843	0.3832973123080592
10.0	32.002726932457335	ISI	1.0		235	face	child-94.jpg	1.0	102.26105775035649	2.01661213204261
10.0	32.03886376808077	pulse	1.0	t		face	child-94.jpg	1.0	102.29719458597992	
10.0	32.24452138320703	response	1.0	b		face	child-94.jpg	1.0	102.50285220110618	
11.0	34.019339064499945	corridor	0.0		45	place	corridor-70.jpg	0.0	104.2776698823991	0.3833172345512139
11.0	34.009634819251005	pulse	0.0	t		place	corridor-70.jpg	0.0	104.26796563715016	
