trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_name	task_probe	onset_abs	duration
0.0	0.056801487290613295	baseline	0.0		41.0		baseline	0.0	90.78871498467652	0.34968762743847037
0.0	0.40648911472908367	ISI	1.0		11.0		baseline	0.0	91.13840261211499	0.09999815869650774
1.0	0.5064872734255914	baseline	0.0		48.0		baseline	0.0	91.2384007708115	0.3999868995806537
1.0	0.7066019171888911	pulse	0.0	t			baseline	0.0	91.4385154145748	
1.0	0.9064741730062451	ISI	1.0		11.0		baseline	0.0	91.63838767039215	0.09999785684340168
2.0	1.0064720298496468	baseline	0.0		48.0		baseline	0.0	91.73838552723555	0.3999730143432316
2.0	1.4064450441928784	ISI	1.0		11.0		baseline	0.0	92.13835854157878	0.09999695128499297
2.0	1.4109151850461785	pulse	1.0	t			baseline	0.0	92.14282868243208	
3.0	1.5064419954778714	baseline	0.0		48.0		baseline	0.0	92.23835549286377	0.3999859940213355
3.0	1.9064279894992069	ISI	1.0		11.0		baseline	0.0	92.63834148688511	0.10000298834438581
4.0	2.0064309778435927	baseline	0.0		48.0		baseline	0.0	92.7383444752295	0.39998750328686583
4.0	2.1065432369687187	pulse	0.0	t			baseline	0.0	92.83845673435462	
4.0	2.4064184811304585	ISI	1.0		11.0		baseline	0.0	93.13833197851636	0.09999725313809904
5.0	2.5064157342685576	baseline	0.0		48.0		baseline	0.0	93.23832923165446	0.3999917292276223
5.0	2.8065228015220782	pulse	0.0	t			baseline	0.0	93.53843629890798	
5.0	2.90640746349618	ISI	1.0		11.0		baseline	0.0	93.63832096088208	0.0999921216371149
6.0	3.0063995851332947	baseline	0.0		48.0		baseline	0.0	93.7383130825192	0.39998840884527453
6.0	3.4063879939785693	ISI	1.0		11.0		baseline	0.0	94.13830149136447	0.0999912160787062
7.0	3.5063792100572755	baseline	0.0		47.0		baseline	0.0	94.23829270744318	0.39999474775777344
7.0	3.5105656091045603	pulse	0.0	t			baseline	0.0	94.24247910649046	
7.0	3.906373957815049	ISI	1.0		11.0		baseline	0.0	94.63828745520095	0.0999921216371149
8.0	4.006366079452164	baseline	0.0		48.0		baseline	0.0	94.73827957683807	0.3999950496108795
8.0	4.206488873246599	pulse	0.0	t			baseline	0.0	94.9384023706325	
8.0	4.406361129063043	ISI	1.0		11.0		baseline	0.0	95.13827462644895	0.09999996981514414
9.0	4.5063610988781875	baseline	0.0		48.0		baseline	0.0	95.23827459626409	0.39999082366921357
9.0	4.906351922547401	ISI	1.0		11.0		baseline	0.0	95.6382654199333	0.10000057352044678
9.0	4.910816026341308	pulse	1.0	t			baseline	0.0	95.64272952372721	
10.0	5.006352496067848	baseline	0.0		48.0		baseline	0.0	95.73826599345375	0.3999733161963377
10.0	5.4063258122641855	ISI	1.0		11.0		baseline	0.0	96.13823930965009	0.10000359205059794
11.0	5.5063294043147835	baseline	0.0		48.0		baseline	0.0	96.23824290170069	0.39998931440368324
11.0	5.606433211555668	pulse	0.0	t			baseline	0.0	96.33834670894157	
11.0	5.906318718718467	ISI	1.0		5.0		baseline	0.0	96.63823221610437	0.12500215070303966
12.0	6.031320869421506	limb	0.0		45.0	body	limb-116.jpg	0.0	96.76323436680741	0.37496389083662507
12.0	6.30640945572577	pulse	0.0	t		body	limb-116.jpg	0.0	97.03832295311167	
12.0	6.406284760258131	ISI	1.0		2.0	body	limb-116.jpg	0.0	97.13819825764404	0.11668791208558105
13.0	6.5229726723437125	limb	0.0		46.0	body	limb-65.jpg	0.0	97.25488616972962	0.38330469251650356
13.0	6.906277364860216	ISI	1.0		6.0	body	limb-65.jpg	0.0	97.63819086224612	0.11668247873149085
14.0	7.022959843591707	limb	0.0		45.0	body	limb-83.jpg	0.0	97.75487334097761	0.3833052962218062
14.0	7.013043671184278	pulse	0.0	t		body	limb-83.jpg	0.0	97.74495716857018	
14.0	7.406265139813513	ISI	1.0		6.0	body	limb-83.jpg	0.0	98.13817863719942	0.11669032691042958
15.0	7.522955466723943	limb	0.0		46.0	body	limb-75.jpg	0.0	98.25486896410985	0.38328839245423296
15.0	7.706373112626352	pulse	0.0	t		body	limb-75.jpg	0.0	98.43828661001226	
15.0	7.906243859178176	ISI	1.0		6.0	body	limb-75.jpg	0.0	98.63815735656408	0.11669455285209551
16.0	8.022938412030271	limb	0.0		46.0	body	limb-32.jpg	0.0	98.75485190941617	0.38329956101460994
16.0	8.406237973044881	ISI	1.0		7.0	body	limb-32.jpg	0.0	99.13815147043078	0.11668791208649054
16.0	8.445917151619142	pulse	1.0	t		body	limb-32.jpg	0.0	99.17783064900505	
17.0	8.522925885131372	limb	0.0		46.0	body	limb-39.jpg	0.0	99.25483938251728	0.3832663571865851
17.0	8.906192242317957	ISI	1.0		7.0	body	limb-39.jpg	0.0	99.63810573970386	0.11668821393868711
18.0	9.022880456256644	limb	0.0		46.0	body	limb-144.jpg	0.0	99.75479395364255	0.3832998628686255
18.0	9.10630416940512	pulse	0.0	t		body	limb-144.jpg	0.0	99.83821766679102	
18.0	9.40618031912527	ISI	1.0		7.0	body	limb-144.jpg	0.0	100.13809381651117	0.11668640282096021
19.0	9.52286672194623	limb	0.0		46.0	body	limb-144.jpg	1.0	100.25478021933213	0.3832799405709011
19.0	9.80628373395757	pulse	0.0	t		body	limb-144.jpg	1.0	100.53819723134347	
19.0	9.90614666251713	ISI	1.0		6.0	body	limb-144.jpg	1.0	100.63806015990303	0.11675099936019251
19.0	9.953539090414779	response	1.0	b		body	limb-144.jpg	1.0	100.68545258780068	
20.0	10.022897661877323	limb	0.0		46.0	body	limb-3.jpg	0.0	100.75481115926323	0.3832573015970411
20.0	10.406154963474364	ISI	1.0		4.0	body	limb-3.jpg	0.0	101.13806846086027	0.11667764908452227
21.0	10.522832612558886	limb	0.0		45.0	body	limb-26.jpg	0.0	101.25474610994479	0.38330680548642704
21.0	10.512712085680505	pulse	0.0	t		body	limb-26.jpg	0.0	101.24462558306641	
21.0	10.906139418045314	ISI	1.0		7.0	body	limb-26.jpg	0.0	101.63805291543122	0.11669032691042958
22.0	11.022829744955743	limb	0.0		46.0	body	limb-36.jpg	0.0	101.75474324234165	0.38329654248536826
22.0	11.20625463532997	pulse	0.0	t		body	limb-36.jpg	0.0	101.93816813271587	
22.0	11.406126287441111	ISI	1.0		3.0	body	limb-36.jpg	0.0	102.13803978482701	0.11668851579179318
23.0	11.522814803232905	limb	0.0		46.0	body	limb-128.jpg	0.0	102.25472830061881	0.38329956101460994
23.0	11.906114364247514	ISI	1.0		7.0	body	limb-128.jpg	0.0	102.63802786163342	0.11668610096876364
23.0	11.941763805472874	pulse	1.0	t		body	limb-128.jpg	0.0	102.67367730285878	
24.0	12.022800465216278	instrument	0.0		46.0	object	instrument-4.jpg	0.0	102.75471396260218	0.38330046657392813
24.0	12.406100931790206	ISI	1.0		6.0	object	instrument-4.jpg	0.0	103.13801442917611	0.11668519540853595
25.0	12.522786127198742	instrument	0.0		46.0	object	instrument-102.jpg	0.0	103.25469962458465	0.3832998628686255
25.0	12.606209236641007	pulse	0.0	t		object	instrument-102.jpg	0.0	103.33812273402691	
25.0	12.906085990067368	ISI	1.0		6.0	object	instrument-102.jpg	0.0	103.63799948745327	0.11668670467406628
26.0	13.022772694741434	instrument	0.0		46.0	object	instrument-57.jpg	0.0	103.75468619212734	0.3833016739863524
26.0	13.306191819723608	pulse	0.0	t		object	instrument-57.jpg	0.0	104.03810531710951	
26.0	13.406074368727786	ISI	1.0		6.0	object	instrument-57.jpg	0.0	104.13798786611369	0.11668640282096021
27.0	13.522760771548747	instrument	0.0		46.0	object	instrument-42.jpg	0.0	104.25467426893465	0.38329684433847433
27.0	13.906057615887221	ISI	1.0		6.0	object	instrument-42.jpg	0.0	104.63797111327312	0.11668096946687001
28.0	14.022738585354091	instrument	0.0		45.0	object	instrument-74.jpg	0.0	104.75465208274	0.3833080128988513
28.0	14.01266635495358	pulse	0.0	t		object	instrument-74.jpg	0.0	104.74457985233948	
28.0	14.406046598252942	ISI	1.0		5.0	object	instrument-74.jpg	0.0	105.13796009563885	0.11668489355633938
29.0	14.522731491809282	instrument	0.0		46.0	object	instrument-24.jpg	0.0	105.25464498919519	0.3833327648435443
29.0	14.706187774893806	pulse	0.0	t		object	instrument-24.jpg	0.0	105.43810127227971	
29.0	14.906064256652826	ISI	1.0		6.0	object	instrument-24.jpg	0.0	105.63797775403873	0.11668851579179318
30.0	15.022752772444619	instrument	0.0		46.0	object	instrument-95.jpg	0.0	105.75466626983052	0.38329865545620123
30.0	15.40605142790082	ISI	1.0		7.0	object	instrument-95.jpg	0.0	106.13796492528672	0.11668730837936891
30.0	15.44170720803777	pulse	1.0	t		object	instrument-95.jpg	0.0	106.17362070542367	
31.0	15.52273873628019	instrument	0.0		46.0	object	instrument-95.jpg	1.0	106.25465223366609	0.38329774989779253
31.0	15.906036486177982	ISI	1.0		5.0	object	instrument-95.jpg	1.0	106.63794998356389	0.11669153432194435
31.0	15.962265962061792	response	1.0	b		object	instrument-95.jpg	1.0	106.6941794594477	
32.0	16.022728020499926	instrument	0.0		46.0	object	instrument-44.jpg	0.0	106.75464151788583	0.38329563692605007
32.0	16.10614418732257	pulse	0.0	t		object	instrument-44.jpg	0.0	106.83805768470847	
32.0	16.406023657425976	ISI	1.0		4.0	object	instrument-44.jpg	0.0	107.13793715481188	0.11669093061573221
33.0	16.52271458804171	instrument	0.0		46.0	object	instrument-7.jpg	0.0	107.25462808542761	0.38329774989779253
33.0	16.806124959287445	pulse	0.0	t		object	instrument-7.jpg	0.0	107.53803845667335	
33.0	16.9060123379395	ISI	1.0		6.0	object	instrument-7.jpg	0.0	107.6379258353254	0.11667674352520407
34.0	17.022689081464705	instrument	0.0		46.0	object	instrument-137.jpg	0.0	107.75460257885061	0.38330740919263917
34.0	17.405996490657344	ISI	1.0		7.0	object	instrument-137.jpg	0.0	108.13790998804325	0.1167328881811045
35.0	17.52272937883845	instrument	0.0		45.0	object	instrument-87.jpg	0.0	108.25464287622435	0.3832515663898448
35.0	17.51373898953534	pulse	0.0	t		object	instrument-87.jpg	0.0	108.24565248692124	
35.0	17.905980945228293	ISI	1.0		11.0	object	instrument-87.jpg	0.0	108.6378944426142	0.10003921070347133
