trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_name	task_probe	onset_abs	duration
0.0	0.0540340991242374	baseline	0.0		701		baseline	0.0	24.82254666722565	5.847566053734226
0.0	0.7018585993841953	pulse	0.0	t			baseline	0.0	25.47037116748561	
0.0	1.4018209583168755	pulse	0.0	t			baseline	0.0	26.17033352641829	
0.0	2.1017984098989473	pulse	0.0	t			baseline	0.0	26.87031097800036	
0.0	2.8017809929815485	pulse	0.0	t			baseline	0.0	27.570293561082963	
0.0	3.5017678020062704	pulse	0.0	t			baseline	0.0	28.270280370107685	
0.0	4.201776344445534	pulse	0.0	t			baseline	0.0	28.97028891254695	
0.0	4.901731157053746	pulse	0.0	t			baseline	0.0	29.67024372515516	
0.0	5.60172128646127	pulse	0.0	t			baseline	0.0	30.370233854562684	
0.0	5.901600152858464	ISI	1.0		3		baseline	0.0	30.670112720959878	0.12500245255523623
1.0	6.0266026054137	house	0.0		45	place	house-28.jpg	0.0	30.795115173515114	0.37492012215398063
1.0	6.301653761948273	pulse	0.0	t		place	house-28.jpg	0.0	31.070166330049688	
1.0	6.401522727567681	ISI	1.0		594	place	house-28.jpg	0.0	31.170035295669095	5.016569314047956
1.0	7.001637250590193	pulse	1.0	t		place	house-28.jpg	0.0	31.770149818691607	
1.0	7.7016056465827205	pulse	1.0	t		place	house-28.jpg	0.0	32.470118214684135	
1.0	8.401583400017444	pulse	1.0	t		place	house-28.jpg	0.0	33.17009596811886	
1.0	9.101576547954664	pulse	1.0	t		place	house-28.jpg	0.0	33.87008911605608	
1.0	9.801558225478857	pulse	1.0	t		place	house-28.jpg	0.0	34.57007079358027	
1.0	10.501573710536832	pulse	1.0	t		place	house-28.jpg	0.0	35.270086278638246	
1.0	11.201522486085196	pulse	1.0	t		place	house-28.jpg	0.0	35.97003505418661	
2.0	11.418092041615637	limb	0.0		46	body	limb-144.jpg	0.0	36.18660460971705	0.3832877887489303
2.0	11.801379830364567	ISI	1.0		231	body	limb-144.jpg	0.0	36.56989239846598	2.0166813015057414
2.0	11.90149390060742	pulse	1.0	t		body	limb-144.jpg	0.0	36.670006468708834	
2.0	12.601545004317813	pulse	1.0	t		body	limb-144.jpg	0.0	37.37005757241923	
2.0	13.30152788925352	pulse	1.0	t		body	limb-144.jpg	0.0	38.070040457354935	
3.0	13.818061131870309	car	0.0		46	object	car-13.jpg	0.0	38.58657369997172	0.3832714886875692
3.0	14.001444970238936	pulse	0.0	t		object	car-13.jpg	0.0	38.76995753834035	
3.0	14.201332620557878	ISI	1.0		234	object	car-13.jpg	0.0	38.96984518865929	2.016614591995676
3.0	14.701418195878887	pulse	1.0	t		object	car-13.jpg	0.0	39.4699307639803	
3.0	15.401445151350345	pulse	1.0	t		object	car-13.jpg	0.0	40.16995771945176	
3.0	16.10138758798621	pulse	1.0	t		object	car-13.jpg	0.0	40.869900156087624	
4.0	16.217947212553554	number	0.0		46	character	number-71.jpg	0.0	40.98645978065497	0.3833062017811244
4.0	16.60125341433468	ISI	1.0		231	character	number-71.jpg	0.0	41.36976598243609	2.0166447772940046
4.0	16.801363832156312	pulse	1.0	t		character	number-71.jpg	0.0	41.569876400257726	
4.0	17.501351848593004	pulse	1.0	t		character	number-71.jpg	0.0	42.26986441669442	
4.0	18.201329300175075	pulse	1.0	t		character	number-71.jpg	0.0	42.96984186827649	
5.0	18.617898191628683	house	0.0		46	place	house-26.jpg	0.0	43.3864107597301	0.383289599867112
5.0	18.901303733226996	pulse	0.0	t		place	house-26.jpg	0.0	43.66981630132841	
5.0	19.001187791495795	ISI	1.0		354	place	house-26.jpg	0.0	43.76970035959721	3.0166541347366547
5.0	19.601287221868915	pulse	1.0	t		place	house-26.jpg	0.0	44.36979978997033	
5.0	20.301347381168853	pulse	1.0	t		place	house-26.jpg	0.0	45.06985994927027	
5.0	21.00131698457335	pulse	1.0	t		place	house-26.jpg	0.0	45.769829552674764	
5.0	21.701308019539283	pulse	1.0	t		place	house-26.jpg	0.0	46.4698205876407	
6.0	22.01784192623245	number	0.0		46	character	number-133.jpg	0.0	46.786354494333864	0.38326756459900935
6.0	22.40110949083146	ISI	1.0		233	character	number-133.jpg	0.0	47.16962205893287	2.0166375328226422
6.0	22.456439746672913	pulse	1.0	t		character	number-133.jpg	0.0	47.22495231477433	
6.0	23.101198024311998	pulse	1.0	t		character	number-133.jpg	0.0	47.86971059241341	
6.0	23.801189662984143	pulse	1.0	t		character	number-133.jpg	0.0	48.56970223108556	
7.0	24.4177470236541	house	0.0		46	place	house-120.jpg	0.0	49.186259591755515	0.3832820535421888
7.0	24.501167114566215	pulse	0.0	t		place	house-120.jpg	0.0	49.26967968266763	
7.0	24.80102907719629	ISI	1.0		233	place	house-120.jpg	0.0	49.569541645297704	2.016650512500746
7.0	25.20113973650041	pulse	1.0	t		place	house-120.jpg	0.0	49.96965230460182	
7.0	25.901117791788238	pulse	1.0	t		place	house-120.jpg	0.0	50.66963035988965	
7.0	26.601109430460838	pulse	1.0	t		place	house-120.jpg	0.0	51.36962199856225	
8.0	26.817679589697036	number	0.0		46	character	number-64.jpg	0.0	51.58619215779845	0.38330197583945846
8.0	27.200981565536495	ISI	1.0		231	character	number-64.jpg	0.0	51.96949413363791	2.016653229177791
8.0	27.30115057302237	pulse	1.0	t		character	number-64.jpg	0.0	52.06966314112378	
8.0	28.001069766978617	pulse	1.0	t		character	number-64.jpg	0.0	52.76958233508003	
8.0	28.701114833629163	pulse	1.0	t		character	number-64.jpg	0.0	53.46962740173058	
9.0	29.217634794714286	adult	0.0		46	face	adult-137.jpg	0.0	53.9861473628157	0.38328929801355116
9.0	29.40104157390988	pulse	0.0	t		face	adult-137.jpg	0.0	54.16955414201129	
9.0	29.600924092727837	ISI	1.0		234	face	adult-137.jpg	0.0	54.36943666082925	2.0166106679071163
9.0	30.101019931050814	pulse	1.0	t		face	adult-137.jpg	0.0	54.86953249915223	
9.0	30.800984704807433	pulse	1.0	t		face	adult-137.jpg	0.0	55.56949727290885	
9.0	31.501015886220557	pulse	1.0	t		face	adult-137.jpg	0.0	56.26952845432197	
10.0	31.617534760634953	adult	0.0		46	face	adult-71.jpg	0.0	56.38604732873637	0.3833188796061222
10.0	32.000853640241075	ISI	1.0		234	face	adult-71.jpg	0.0	56.76936620834249	2.01662636426272
10.0	32.200961643239225	pulse	1.0	t		face	adult-71.jpg	0.0	56.96947421134064	
10.0	32.90093396332077	pulse	1.0	t		face	adult-71.jpg	0.0	57.66944653142218	
10.0	33.60091986678617	pulse	1.0	t		face	adult-71.jpg	0.0	58.369432434887585	
11.0	34.017480004503795	house	0.0		46	place	house-54.jpg	0.0	58.78599257260521	0.38330891845771475
11.0	34.30096312231899	pulse	0.0	t		place	house-54.jpg	0.0	59.069475690420404	
