11.0780 	WARNING 	Actual framerate: 120.01895 (1 frame = 0.00833)
11.0988 	EXP 	Created unnamed Circle = Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...))
11.1005 	EXP 	Created unnamed ImageStim = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=None, interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='deg', win=Window(...))
11.2176 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text=str(...), units='deg', win=Window(...), wrapWidth=500)
34.6836 	DATA 	Keypress: t
34.6838 	EXP 	window1: recordFrameIntervals = True
34.7522 	WARNING 	t of last frame was 14.45ms (=1/69)
35.3856 	DATA 	Keypress: t
36.0856 	DATA 	Keypress: t
36.7855 	DATA 	Keypress: t
37.4855 	DATA 	Keypress: t
38.1855 	DATA 	Keypress: t
38.8855 	DATA 	Keypress: t
39.5855 	DATA 	Keypress: t
40.2855 	DATA 	Keypress: t
40.6603 	WARNING 	t of last frame was 75.00ms (=1/13)
40.6603 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
40.6603 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-28.jpg'
40.7103 	WARNING 	t of last frame was 33.34ms (=1/29)
40.9854 	DATA 	Keypress: t
41.1352 	WARNING 	t of last frame was 50.00ms (=1/20)
41.1352 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
41.1352 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-144.jpg'
41.6854 	DATA 	Keypress: t
42.3853 	DATA 	Keypress: t
43.0853 	DATA 	Keypress: t
43.7853 	DATA 	Keypress: t
44.4853 	DATA 	Keypress: t
45.1853 	DATA 	Keypress: t
45.8853 	DATA 	Keypress: t
46.1060 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
46.5601 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
46.5601 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-13.jpg'
46.5852 	DATA 	Keypress: t
47.2853 	DATA 	Keypress: t
47.9853 	DATA 	Keypress: t
48.6852 	DATA 	Keypress: t
48.9350 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
48.9350 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-71.jpg'
49.3852 	DATA 	Keypress: t
50.0852 	DATA 	Keypress: t
50.7851 	DATA 	Keypress: t
51.3600 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
51.3600 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-26.jpg'
51.4851 	DATA 	Keypress: t
52.1851 	DATA 	Keypress: t
52.8851 	DATA 	Keypress: t
53.5850 	DATA 	Keypress: t
53.7349 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
53.7349 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-133.jpg'
54.2850 	DATA 	Keypress: t
54.9851 	DATA 	Keypress: t
55.6851 	DATA 	Keypress: t
56.3850 	DATA 	Keypress: t
57.1402 	DATA 	Keypress: t
57.1431 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
57.1431 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-120.jpg'
57.7849 	DATA 	Keypress: t
58.4849 	DATA 	Keypress: t
59.1849 	DATA 	Keypress: t
59.5431 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
59.5431 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-64.jpg'
59.8849 	DATA 	Keypress: t
60.5849 	DATA 	Keypress: t
61.2848 	DATA 	Keypress: t
61.9597 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
61.9597 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-137.jpg'
61.9849 	DATA 	Keypress: t
62.6848 	DATA 	Keypress: t
63.3849 	DATA 	Keypress: t
64.0848 	DATA 	Keypress: t
64.3346 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
64.3346 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-71.jpg'
64.7848 	DATA 	Keypress: t
65.4847 	DATA 	Keypress: t
66.1848 	DATA 	Keypress: t
66.7346 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
66.7346 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-54.jpg'
66.8847 	DATA 	Keypress: t
67.5847 	DATA 	Keypress: t
68.2847 	DATA 	Keypress: t
68.9847 	DATA 	Keypress: t
69.1345 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
69.1345 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-62.jpg'
69.6846 	DATA 	Keypress: t
70.3847 	DATA 	Keypress: t
71.0847 	DATA 	Keypress: t
71.7846 	DATA 	Keypress: t
72.4846 	DATA 	Keypress: t
73.1846 	DATA 	Keypress: t
73.8846 	DATA 	Keypress: t
74.5845 	DATA 	Keypress: t
75.2845 	DATA 	Keypress: t
75.5343 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
75.5343 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-33.jpg'
75.9845 	DATA 	Keypress: t
76.6844 	DATA 	Keypress: t
77.3844 	DATA 	Keypress: t
78.0844 	DATA 	Keypress: t
78.7844 	DATA 	Keypress: t
79.4843 	DATA 	Keypress: t
80.1843 	DATA 	Keypress: t
80.9333 	DATA 	Keypress: t
80.9425 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
80.9425 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-50.jpg'
81.5844 	DATA 	Keypress: t
82.2843 	DATA 	Keypress: t
82.9843 	DATA 	Keypress: t
83.6843 	DATA 	Keypress: t
84.3341 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
84.3341 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-96.jpg'
84.3843 	DATA 	Keypress: t
85.0842 	DATA 	Keypress: t
85.7842 	DATA 	Keypress: t
86.4842 	DATA 	Keypress: t
87.1842 	DATA 	Keypress: t
87.7340 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
87.7340 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-128.jpg'
87.8841 	DATA 	Keypress: t
88.5841 	DATA 	Keypress: t
89.2842 	DATA 	Keypress: t
89.9841 	DATA 	Keypress: t
90.6923 	DATA 	Keypress: t
91.1340 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
91.1340 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-49.jpg'
91.3841 	DATA 	Keypress: t
92.0841 	DATA 	Keypress: t
