trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_name	task_probe	onset_abs	duration
0.0	0.057521250393619994	baseline	0.0		41.0		baseline	0.0	124.77452699765854	0.3496993552435015
0.0	0.4072206056371215	ISI	1.0		11.0		baseline	0.0	125.12422635290204	0.09999547221741523
1.0	0.5072160778545367	baseline	0.0		48.0		baseline	0.0	125.22422182511946	0.3999882277676079
1.0	0.7073238390767074	pulse	0.0	t			baseline	0.0	125.42432958634163	
1.0	0.9072043056221446	ISI	1.0		11.0		baseline	0.0	125.62421005288707	0.09999547221741523
2.0	1.0071997778395598	baseline	0.0		48.0		baseline	0.0	125.72420552510448	0.39996649440945475
2.0	1.4071662722490146	ISI	1.0		11.0		baseline	0.0	126.12417201951394	0.09999728333059466
2.0	1.4117348047620908	pulse	1.0	t			baseline	0.0	126.12874055202701	
3.0	1.5071635555796092	baseline	0.0		48.0		baseline	0.0	126.22416930284453	0.39998883146836306
3.0	1.9071523870479723	ISI	1.0		11.0		baseline	0.0	126.62415813431289	0.09999426480862894
4.0	2.0071466518566012	baseline	0.0		48.0		baseline	0.0	126.72415239912152	0.3999912462895736
4.0	2.107271316803235	pulse	0.0	t			baseline	0.0	126.82427706406816	
4.0	2.407137898146175	ISI	1.0		11.0		baseline	0.0	127.1241436454111	0.09999517036339967
5.0	2.5071330685095745	baseline	0.0		48.0		baseline	0.0	127.2241388157745	0.39998973702677176
5.0	2.807240829733928	pulse	0.0	t			baseline	0.0	127.52424657699885	
5.0	2.9071228055363463	ISI	1.0		11.0		baseline	0.0	127.62412855280127	0.09999547221741523
6.0	3.0071182777537615	baseline	0.0		48.0		baseline	0.0	127.72412402501868	0.3999873222091992
6.0	3.4071055999629607	ISI	1.0		11.0		baseline	0.0	128.12411134722788	0.09998430368796107
7.0	3.5070899036509218	baseline	0.0		47.0		baseline	0.0	128.22409565091584	0.40000181111099664
7.0	3.5112442949939577	pulse	0.0	t			baseline	0.0	128.22825004225888	
7.0	3.9070917147619184	ISI	1.0		11.0		baseline	0.0	128.62409746202684	0.09999637777582393
8.0	4.007088092537742	baseline	0.0		48.0		baseline	0.0	128.72409383980266	0.39998973702677176
8.0	4.207194646351127	pulse	0.0	t			baseline	0.0	128.92420039361605	
8.0	4.407077829564514	ISI	1.0		11.0		baseline	0.0	129.12408357682943	0.09998400183394551
9.0	4.50706183139846	baseline	0.0		48.0		baseline	0.0	129.22406757866338	0.4000003018518328
9.0	4.907062133250292	ISI	1.0		11.0		baseline	0.0	129.6240678805152	0.09999577407143079
9.0	4.911560334210662	pulse	1.0	t			baseline	0.0	129.62856608147558	
10.0	5.007057907321723	baseline	0.0		48.0		baseline	0.0	129.72406365458664	0.3999891333223786
10.0	5.407047040644102	ISI	1.0		11.0		baseline	0.0	130.12405278790902	0.09999758518097224
11.0	5.507044625825074	baseline	0.0		48.0		baseline	0.0	130.22405037309	0.3999900388807873
11.0	5.607153594457486	pulse	0.0	t			baseline	0.0	130.3241593417224	
11.0	5.907034664705861	ISI	1.0		5.0		baseline	0.0	130.62404041197078	0.1249990944415913
12.0	6.032033759147453	house	0.0		45.0	place	house-106.jpg	0.0	130.74903950641237	0.3749375166007667
12.0	6.3070868851282285	pulse	0.0	t		place	house-106.jpg	0.0	131.02409263239315	
12.0	6.406971275748219	ISI	1.0		6.0	place	house-106.jpg	0.0	131.12397702301314	0.11668427471158793
13.0	6.523655550459807	house	0.0		46.0	place	house-127.jpg	0.0	131.24066129772473	0.3833003308282059
13.0	6.906955881288013	ISI	1.0		7.0	place	house-127.jpg	0.0	131.62396162855293	0.11668035063121351
14.0	7.023636231919227	house	0.0		45.0	place	house-62.jpg	0.0	131.74064197918415	0.3833066697261529
14.0	7.015472338269319	pulse	0.0	t		place	house-62.jpg	0.0	131.73247808553424	
14.0	7.40694290164538	ISI	1.0		5.0	place	house-62.jpg	0.0	132.1239486489103	0.11668276544878609
15.0	7.523625667094166	house	0.0		46.0	place	house-55.jpg	0.0	132.2406314143591	0.3833054623173666
15.0	7.707046436938981	pulse	0.0	t		place	house-55.jpg	0.0	132.4240521842039	
15.0	7.906931129411532	ISI	1.0		4.0	place	house-55.jpg	0.0	132.62393687667645	0.11668065248522907
16.0	8.023611781896761	house	0.0		46.0	place	house-133.jpg	0.0	132.74061752916168	0.3832964067514695
16.0	8.40690818864823	ISI	1.0		6.0	place	house-133.jpg	0.0	133.12391393591315	0.11668850063870195
16.0	8.454484919468086	pulse	1.0	t		place	house-133.jpg	0.0	133.171490666733	
17.0	8.523596689286933	house	0.0		46.0	place	house-94.jpg	0.0	133.24060243655185	0.3833015382406302
17.0	8.906898227527563	ISI	1.0		8.0	place	house-94.jpg	0.0	133.62390397479248	0.11668548211673624
18.0	9.0235837096443	house	0.0		46.0	place	house-81.jpg	0.0	133.74058945690922	0.3832994252734352
18.0	9.107020779505547	pulse	0.0	t		place	house-81.jpg	0.0	133.82402652677047	
18.0	9.406883134917734	ISI	1.0		5.0	place	house-81.jpg	0.0	134.12388888218265	0.11667521914569079
19.0	9.523558354063425	house	0.0		46.0	place	house-5.jpg	0.0	134.24056410132835	0.3833111975072825
19.0	9.806984255392308	pulse	0.0	t		place	house-5.jpg	0.0	134.52399000265723	
19.0	9.906869551570708	ISI	1.0		6.0	place	house-5.jpg	0.0	134.62387529883563	0.11668638767514494
20.0	10.023555939245853	house	0.0		46.0	place	house-88.jpg	0.0	134.74056168651077	0.38330002897782833
20.0	10.406855968223681	ISI	1.0		6.0	place	house-88.jpg	0.0	135.1238617154886	0.1166764265508391
21.0	10.52353239477452	house	0.0		45.0	place	house-80.jpg	0.0	135.24053814203944	0.3833048586129735
21.0	10.515710499628767	pulse	0.0	t		place	house-80.jpg	0.0	135.2327162468937	
21.0	10.906837253387494	ISI	1.0		6.0	place	house-80.jpg	0.0	135.6238430006524	0.11668548212037422
22.0	11.023522735507868	house	0.0		46.0	place	house-26.jpg	0.0	135.7405284827728	0.38330002897782833
22.0	11.206944712757831	pulse	0.0	t		place	house-26.jpg	0.0	135.92395046002275	
22.0	11.406822764485696	ISI	1.0		7.0	place	house-26.jpg	0.0	136.12382851175062	0.11668668952552252
23.0	11.523509454011219	house	0.0		46.0	place	house-83.jpg	0.0	136.24051520127614	0.38329761416025576
23.0	11.906807068171474	ISI	1.0		7.0	place	house-83.jpg	0.0	136.6238128154364	0.11668487841598107
23.0	11.939531465071923	pulse	1.0	t		place	house-83.jpg	0.0	136.65653721233684	
24.0	12.023491946587455	adult	0.0		46.0	face	adult-23.jpg	0.0	136.74049769385238	0.3833323271574045
24.0	12.40682427374486	ISI	1.0		7.0	face	adult-23.jpg	0.0	137.12383002100978	0.1166891043430951
25.0	12.523513378087955	adult	0.0		46.0	face	adult-100.jpg	0.0	137.24051912535288	0.3832644104222709
25.0	12.606899434933439	pulse	0.0	t		face	adult-100.jpg	0.0	137.32390518219836	
25.0	12.906777788510226	ISI	1.0		7.0	face	adult-100.jpg	0.0	137.62378353577515	0.11667853952167206
26.0	13.023456328031898	adult	0.0		46.0	face	adult-35.jpg	0.0	137.74046207529682	0.38330727342690807
26.0	13.30688132380601	pulse	0.0	t		face	adult-35.jpg	0.0	138.02388707107093	
26.0	13.406763601458806	ISI	1.0		7.0	face	adult-35.jpg	0.0	138.12376934872373	0.11668548212037422
27.0	13.52344908357918	adult	0.0		46.0	face	adult-33.jpg	0.0	138.2404548308441	0.38329912341941963
27.0	13.9067482069986	ISI	1.0		8.0	face	adult-33.jpg	0.0	138.62375395426352	0.11667793581364094
28.0	14.02342614281224	adult	0.0		45.0	face	adult-105.jpg	0.0	138.74043189007716	0.3833063678757753
28.0	14.015195841686364	pulse	0.0	t		face	adult-105.jpg	0.0	138.73220158895128	
28.0	14.406732510688016	ISI	1.0		7.0	face	adult-105.jpg	0.0	139.12373825795294	0.11668819878832437
29.0	14.52342070947634	adult	0.0		46.0	face	adult-44.jpg	0.0	139.24042645674126	0.38329882156904205
29.0	14.706839366353961	pulse	0.0	t		face	adult-44.jpg	0.0	139.42384511361888	
29.0	14.906719531045383	ISI	1.0		7.0	face	adult-44.jpg	0.0	139.6237252783103	0.11668699137953809
30.0	15.02340652242492	adult	0.0		46.0	face	adult-55.jpg	0.0	139.74041226968984	0.38329670860184706
30.0	15.406703231026768	ISI	1.0		7.0	face	adult-55.jpg	0.0	140.1237089782917	0.10834681606502272
30.0	15.44559627876879	pulse	1.0	t		face	adult-55.jpg	0.0	140.1626020260337	
31.0	15.51505004709179	adult	0.0		47.0	face	adult-37.jpg	0.0	140.2320557943567	0.3916380913287867
31.0	15.906688138420577	ISI	1.0		6.0	face	adult-37.jpg	0.0	140.6236938856855	0.10835526792288874
32.0	16.015043406343466	adult	0.0		47.0	face	adult-37.jpg	1.0	140.7320491536084	0.39163084687606897
32.0	16.106797710755927	pulse	0.0	t		face	adult-37.jpg	1.0	140.82380345802085	
32.0	16.406674253219535	ISI	1.0		6.0	face	adult-37.jpg	1.0	141.12368000048446	0.11668880249271751
32.0	16.481778694069362	response	1.0	b		face	adult-37.jpg	1.0	141.19878444133428	
33.0	16.523363055712252	adult	0.0		46.0	face	adult-87.jpg	0.0	141.24036880297717	0.3832964067514695
33.0	16.806751829226414	pulse	0.0	t		face	adult-87.jpg	0.0	141.52375757649133	
33.0	16.906659462463722	ISI	1.0		4.0	face	adult-87.jpg	0.0	141.62366520972864	0.10835164569652989
34.0	17.01501110816025	adult	0.0		47.0	face	adult-113.jpg	0.0	141.73201685542517	0.39163295984326396
34.0	17.406644068003516	ISI	1.0		6.0	face	adult-113.jpg	0.0	142.12364981526844	0.10834802347017103
35.0	17.514992091473687	adult	0.0		46.0	face	adult-126.jpg	0.0	142.2319978387386	0.3916377894784091
35.0	17.510490570140973	pulse	0.0	t		face	adult-126.jpg	0.0	142.2274963174059	
35.0	17.906629880952096	ISI	1.0		6.0	face	adult-126.jpg	0.0	142.62363562821702	0.10835285310531617
36.0	18.014982734057412	car	0.0		47.0	object	car-22.jpg	0.0	142.73198848132233	0.39163326169364154
36.0	18.206734019946452	pulse	0.0	t		object	car-22.jpg	0.0	142.92373976721137	
36.0	18.406615995751054	ISI	1.0		5.0	object	car-22.jpg	0.0	143.12362174301597	0.10852007920766482
37.0	18.51513607495872	car	0.0		47.0	object	car-79.jpg	0.0	143.23214182222364	0.3914968245153432
37.0	18.90663289947406	ISI	1.0		6.0	object	car-79.jpg	0.0	143.62363864673898	0.11669091545627452
37.0	18.947511530754127	pulse	1.0	t		object	car-79.jpg	0.0	143.66451727801905	
38.0	19.023323814930336	car	0.0		46.0	object	car-79.jpg	1.0	143.74032956219526	0.3832961049010919
38.0	19.39840320204894	response	0.0	b		object	car-79.jpg	1.0	144.11540894931386	
38.0	19.406619919831428	ISI	1.0		7.0	object	car-79.jpg	1.0	144.12362566709635	0.1166562024554878
39.0	19.523276122286916	car	0.0		46.0	object	car-53.jpg	0.0	144.24028186955184	0.3833265919711266
39.0	19.606692666202434	pulse	0.0	t		object	car-53.jpg	0.0	144.32369841346735	
39.0	19.906602714258042	ISI	1.0		5.0	object	car-53.jpg	0.0	144.62360846152296	0.11667944507280481
40.0	20.023282159330847	car	0.0		46.0	object	car-28.jpg	0.0	144.74028790659577	0.38327316413415247
40.0	20.30667244210781	pulse	0.0	t		object	car-28.jpg	0.0	145.02367818937273	
40.0	20.406555323465	ISI	1.0		7.0	object	car-28.jpg	0.0	145.12356107072992	0.1166866895291605
41.0	20.52324201299416	car	0.0		46.0	object	car-33.jpg	0.0	145.24024776025908	0.38330214194138534
41.0	20.906544154935546	ISI	1.0		7.0	object	car-33.jpg	0.0	145.62354990220047	0.1166773321092478
42.0	21.023221487044793	car	0.0		45.0	object	car-87.jpg	0.0	145.7402272343097	0.3833054623173666
42.0	21.015294849195925	pulse	0.0	t		object	car-87.jpg	0.0	145.73230059646085	
42.0	21.40652694936216	ISI	1.0		7.0	object	car-87.jpg	0.0	146.12353269662708	0.11668638767514494
43.0	21.523213337037305	car	0.0		46.0	object	car-104.jpg	0.0	146.24021908430223	0.3832979160142713
43.0	21.706631692064548	pulse	0.0	t		object	car-104.jpg	0.0	146.42363743932947	
43.0	21.906511253051576	ISI	1.0		7.0	object	car-104.jpg	0.0	146.6235170003165	0.11668638767514494
44.0	22.02319764072672	car	0.0		46.0	object	car-84.jpg	0.0	146.74020338799164	0.38330184009100776
44.0	22.40649948081773	ISI	1.0		7.0	object	car-84.jpg	0.0	147.12350522808265	0.11668759508029325
44.0	22.439803132019733	pulse	1.0	t		object	car-84.jpg	0.0	147.15680887928465	
