trial_nr	onset	event_type	phase	response	nr_frames	rating_type	face_id	repetition	session	rating	onset_abs	duration
0.0	0.007669570929010661	cue	0.0		479						303.580315271043	3.9921441835865608
0.0	1.091288058072223	response	0.0	return							304.6639337581862	
0.0	3.9998137545155714	fix	1.0		120						307.57245945462955	1.0251537053495667
0.0	5.024967459865138	face	0.0		146	trustworthiness	033	1.0	1		308.5976131599791	1.275320933871626
0.0	6.300288393736764	rating	1.0		1294	trustworthiness	033	1.0	1		309.87293409385074	10.792778203060152
0.0	17.093066596796916	fix	2.0		60	trustworthiness	033	1.0	1	-1.4900000000000002	320.6657122969109	0.5167128909645271
1.0	17.609779487761443	face	0.0		147	trustworthiness	012	1.0	1		321.1824251878754	1.2335038420299043
1.0	18.843283329791348	rating	1.0		88	trustworthiness	012	1.0	1		322.4159290299053	0.7417508645171438
1.0	19.58503419430849	fix	2.0		60	trustworthiness	012	1.0	1	1.88	323.1576798944225	0.5167874495296019
2.0	20.101821643838093	face	0.0		147	trustworthiness	070	1.0	1		323.6744673439521	1.2334274723259568
2.0	21.33524911616405	rating	1.0		133	trustworthiness	070	1.0	1		324.90789481627803	1.1168408177654783
2.0	22.45208993392953	fix	2.0		60	trustworthiness	070	1.0	1	-3.87	326.0247356340435	0.5167113816819437
3.0	22.968801315611472	face	0.0		147	trustworthiness	126	1.0	1		326.54144701572545	1.2334667136758526
3.0	24.202268029287325	rating	1.0		106	trustworthiness	126	1.0	1		327.7749137294013	0.8917660177153266
3.0	25.09403404700265	fix	2.0		60	trustworthiness	126	1.0	1	-2.0700000000000003	328.66667974711663	0.5167530378842002
4.0	25.61078708488685	face	0.0		147	trustworthiness	137	1.0	1		329.18343278500083	1.2334642988234918
4.0	26.844251383710343	rating	1.0		209	trustworthiness	137	1.0	1		330.4168970838243	1.7502064698721824
4.0	28.594457853582526	fix	2.0		60	trustworthiness	137	1.0	1	-0.029999999999999805	332.1671035536965	0.5167482081797061
5.0	29.111206061762232	face	0.0		147	trustworthiness	124	1.0	1		332.6838517618762	1.233468222958436
5.0	30.344674284720668	rating	1.0		140	trustworthiness	124	1.0	1		333.91731998483465	1.1751365598979646
5.0	31.519810844618632	fix	2.0		60	trustworthiness	124	1.0	1	3.8899999999999997	335.0924565447326	0.5167485100362228
6.0	32.036559354654855	face	0.0		147	trustworthiness	030	1.0	1		335.60920505476884	1.2334694303845026
6.0	33.27002878503936	rating	1.0		136	trustworthiness	030	1.0	1		336.84267448515334	1.141800731217245
6.0	34.4118295162566	fix	2.0		60	trustworthiness	030	1.0	1	3.87	337.9844752163706	0.5167482081797061
7.0	34.92857772443631	face	0.0		147	trustworthiness	121	1.0	1		338.5012234245503	1.2334636951104585
7.0	36.16204141954677	rating	1.0		333	trustworthiness	121	1.0	1		339.73468711966075	2.7836675690164157
7.0	38.94570898856318	fix	2.0		60	trustworthiness	121	1.0	1	-1.19	342.51835468867716	0.5167485100359954
8.0	39.46245749859918	face	0.0		147	trustworthiness	092	1.0	1		343.03510319871316	1.2334652043932692
8.0	40.69592270299245	rating	1.0		189	trustworthiness	092	1.0	1		344.2685684031064	1.5835237041901564
8.0	42.279446407182604	fix	2.0		60	trustworthiness	092	1.0	1	1.4000000000000004	345.8520921072966	0.516757263875661
9.0	42.796203671058265	face	0.0		147	trustworthiness	102	1.0	1		346.36884937117225	1.233457959836187
9.0	44.02966163089445	rating	1.0		164	trustworthiness	102	1.0	1		347.60230733100843	1.3751663229527367
9.0	45.40482795384719	fix	2.0		60	trustworthiness	102	1.0	1	0.2999999999999998	348.97747365396117	0.5167491137492561
10.0	45.921577067596445	face	0.0		147	trustworthiness	066	1.0	1		349.4942227677104	1.233490862198778
10.0	47.15506792979522	rating	1.0		107	trustworthiness	066	1.0	1		350.7277136299092	0.9000767319321312
10.0	48.055144661727354	fix	2.0		60	trustworthiness	066	1.0	1	1.13	351.62779036184133	0.5167506230318395
11.0	48.571895284759194	face	0.0		147	trustworthiness	043	1.0	1		352.1445409848732	1.2334712415240574
11.0	49.80536652628325	rating	1.0		106	trustworthiness	043	1.0	1		353.37801222639723	0.8917802049725196
11.0	50.69714673125577	fix	2.0		60	trustworthiness	043	1.0	1	1.7699999999999996	354.26979243136975	0.5167370394876798
12.0	51.21388377074345	face	0.0		147	trustworthiness	034	1.0	1		354.78652947085743	1.233458865405737
12.0	52.44734263614919	rating	1.0		110	trustworthiness	034	1.0	1		356.01998833626317	0.9251102983791952
12.0	53.37245293452838	fix	2.0		60	trustworthiness	034	1.0	1	0.6500000000000004	356.94509863464236	0.5167542453104943
13.0	53.88920717983888	face	0.0		147	trustworthiness	027	1.0	1		357.46185287995286	1.2334664118191085
13.0	55.122673591657986	rating	1.0		78	trustworthiness	027	1.0	1		358.69531929177197	0.6584155188068053
13.0	55.78108911046479	fix	2.0		60	trustworthiness	027	1.0	1	2.17	359.35373481057877	0.5167394543400405
14.0	56.29782856480483	face	0.0		147	trustworthiness	044	1.0	1		359.8704742649188	1.2334709396673134
14.0	57.531299504472145	rating	1.0		110	trustworthiness	044	1.0	1		361.1039452045861	0.9251139206576227
14.0	58.45641342512977	fix	2.0		60	trustworthiness	044	1.0	1	1.8399999999999999	362.02905912524375	0.5167391524835239
15.0	58.97315257761329	face	0.0		147	trustworthiness	082	1.0	1		362.5457982777273	1.233461883971131
15.0	60.20661446158442	rating	1.0		242	trustworthiness	082	1.0	1		363.7792601616984	2.0252442623109346
15.0	62.23185872389536	fix	2.0		60	trustworthiness	082	1.0	1	-1.25	365.80450442400934	0.5167521323146502
16.0	62.74861085621001	face	0.0		147	trustworthiness	005	1.0	1		366.321256556324	1.233460978401581
16.0	63.98207183461159	rating	1.0		339	trustworthiness	005	1.0	1		367.55471753472557	2.8336740287463726
16.0	66.81574586335796	fix	2.0		60	trustworthiness	005	1.0	1	2.33	370.38839156347194	0.516758169445211
17.0	67.33250403280317	face	0.0		147	trustworthiness	018	1.0	1		370.90514973291715	1.2334582616927037
17.0	68.56596229449588	rating	1.0		586	trustworthiness	018	1.0	1		372.13860799460986	4.892255930877354
17.0	73.45821822537323	fix	2.0		60	trustworthiness	018	1.0	1	-1.1	377.0308639254872	0.516756358306111
18.0	73.97497458367934	face	0.0		147	trustworthiness	087	1.0	1		377.5476202837933	1.2334594691189977
18.0	75.20843405279834	rating	1.0		215	trustworthiness	087	1.0	1		378.7810797529123	1.8002114203193287
18.0	77.00864547311767	fix	2.0		60	trustworthiness	087	1.0	1	1.8499999999999996	380.58129117323165	0.5167548490235276
19.0	77.5254003221412	face	0.0		147	trustworthiness	141	1.0	1		381.0980460222552	1.2334603746885477
19.0	78.75886069682974	rating	1.0		77	trustworthiness	141	1.0	1		382.3315063969437	0.6500833727759527
19.0	79.4089440696057	fix	2.0		60	trustworthiness	141	1.0	1	-1.4900000000000002	382.9815897697197	0.5167476044664454
20.0	79.92569167407214	face	0.0		147	trustworthiness	042	1.0	1		383.4983373741861	1.233457959836187
20.0	81.15914963390833	rating	1.0		487	trustworthiness	042	1.0	1		384.7317953340223	4.067176965206727
20.0	85.22632659911505	fix	2.0		60	trustworthiness	042	1.0	1	-1.4	388.79897229922904	0.5167364357746465
21.0	85.7430630348897	face	0.0		147	trustworthiness	006	1.0	1		389.3157087350037	1.2334564505533763
21.0	86.97651948544308	rating	1.0		69	trustworthiness	006	1.0	1		390.54916518555706	0.5834047727141751
21.0	87.55992425815725	fix	2.0		60	trustworthiness	006	1.0	1	-2.35	391.13256995827123	0.5167466988968954
22.0	88.07667095705415	face	0.0		147	trustworthiness	117	1.0	1		391.64931665716813	1.2334639969669752
22.0	89.31013495402112	rating	1.0		77	trustworthiness	117	1.0	1		392.8827806541351	0.6500782412147146
22.0	89.96021319523584	fix	2.0		60	trustworthiness	117	1.0	1	-1.6400000000000001	393.5328588953498	0.5167509248885835
23.0	90.47696412012442	face	0.0		147	trustworthiness	099	1.0	1		394.0496098202384	1.2334627895406811
23.0	91.7104269096651	rating	1.0		118	trustworthiness	099	1.0	1		395.2830726097791	0.9917873891583895
23.0	92.70221429882349	fix	2.0		60	trustworthiness	099	1.0	1	0.9699999999999998	396.2748599989375	0.5167491137490288
24.0	93.21896341257252	face	0.0		147	trustworthiness	101	1.0	1		396.7916091126865	1.233460072832031
24.0	94.45242348540455	rating	1.0		61	trustworthiness	101	1.0	1		398.02506918551853	0.5167288893610475
24.0	94.9691523747656	fix	2.0		60	trustworthiness	101	1.0	1	0.9000000000000004	398.5417980748796	0.5167473026099287
25.0	95.48589967737553	face	0.0		147	trustworthiness	061	1.0	1		399.0585453774895	1.23346943038473
25.0	96.71936910776026	rating	1.0		105	trustworthiness	061	1.0	1		400.29201480787424	0.8834423236673956
25.0	97.60281143142765	fix	2.0		60	trustworthiness	061	1.0	1	-0.6699999999999999	401.17545713154163	0.5167445859012787
26.0	98.11955601732893	face	0.0		147	trustworthiness	130	1.0	1		401.6922017174429	1.233461883971131
26.0	99.35301790130006	rating	1.0		67	trustworthiness	130	1.0	1		402.92566360141404	0.5667311230995438
26.0	99.91974902439961	fix	2.0		60	trustworthiness	130	1.0	1	-2.2199999999999998	403.4923947245136	0.5167542453102669
27.0	100.43650326970987	face	0.0		147	trustworthiness	039	1.0	1		404.00914896982385	1.233460072832031
27.0	101.6699633425419	rating	1.0		208	trustworthiness	039	1.0	1		405.2426090426559	1.7418770405502073
27.0	103.41184038309211	fix	2.0		60	trustworthiness	039	1.0	1	3.63	406.9844860832061	0.5167485100359954
28.0	103.92858889312811	face	0.0		147	trustworthiness	011	1.0	1		407.5012345932421	1.2334649025367526
28.0	105.16205379566486	rating	1.0		630	trustworthiness	011	1.0	1		408.73469949577884	5.258969365183475
28.0	110.42102316084834	fix	2.0		60	trustworthiness	011	1.0	1	1.33	413.9936688609623	0.5167485100362228
29.0	110.93777167088456	face	0.0		147	trustworthiness	062	1.0	1		414.51041737099854	1.233484523211473
29.0	112.17125619409603	rating	1.0		407	trustworthiness	062	1.0	1		415.74390189421	3.4003888515928793
29.0	115.57164504568891	fix	2.0		60	trustworthiness	062	1.0	1	-2.04	419.1442907458029	0.5167545471667836
30.0	116.0883995928557	face	0.0		147	trustworthiness	172	1.0	1		419.6610452929697	1.2334621858278751
30.0	117.32186177868357	rating	1.0		110	trustworthiness	172	1.0	1		420.89450747879755	0.9251051668179571
30.0	118.24696694550153	fix	2.0		60	trustworthiness	172	1.0	1	-3.61	421.8196126456155	0.5167473026099287
31.0	118.76371424811146	face	0.0		147	trustworthiness	100	1.0	1		422.33635994822544	1.2334688266716967
31.0	119.99718307478315	rating	1.0		107	trustworthiness	100	1.0	1		423.56982877489713	0.9001026915943839
31.0	120.89728576637754	fix	2.0		60	trustworthiness	100	1.0	1	1.08	424.4699314664915	0.516757263875661
32.0	121.4140430302532	face	0.0		147	trustworthiness	064	1.0	1		424.9866887303672	1.233457054266637
32.0	122.64750008451983	rating	1.0		67	trustworthiness	064	1.0	1		426.2201457846338	0.5667332360951605
32.0	123.214233320615	fix	2.0		60	trustworthiness	064	1.0	1	2.0700000000000003	426.786879020729	0.516757565732405
33.0	123.7309908863474	face	0.0		147	trustworthiness	036	1.0	1		427.3036365864614	1.2334582616927037
33.0	124.9644491480401	rating	1.0		444	trustworthiness	036	1.0	1		428.5370948481541	3.7088201273109007
33.0	128.673269275351	fix	2.0		60	trustworthiness	036	1.0	1	1.3099999999999996	432.245914975465	0.5167144002473378
34.0	129.18998367559834	face	0.0		147	trustworthiness	038	1.0	1		432.7626293757123	1.233456752409893
34.0	130.42344042800823	rating	1.0		697	trustworthiness	038	1.0	1		433.9960861281222	5.81736804039565
34.0	136.24080846840388	fix	2.0		60	trustworthiness	038	1.0	1	1.0499999999999998	439.81345416851786	0.5167518304581336
35.0	136.75756029886202	face	0.0		147	trustworthiness	009	1.0	1		440.330205998976	1.233461883971131
35.0	137.99102218283315	rating	1.0		162	trustworthiness	009	1.0	1		441.56366788294713	1.3584956919034994
35.0	139.34951787473665	fix	2.0		60	trustworthiness	009	1.0	1	1.7199999999999998	442.92216357485063	0.5167530378842002
36.0	139.86627091262085	face	0.0		147	trustworthiness	091	1.0	1		443.43891661273483	1.233460978401581
36.0	141.09973189102243	rating	1.0		179	trustworthiness	091	1.0	1		444.6723775911364	1.500179302783863
36.0	142.5999111938063	fix	2.0		60	trustworthiness	091	1.0	1	2.79	446.1725568939203	0.5167485100362228
37.0	143.11665970384252	face	0.0		147	trustworthiness	136	1.0	1		446.6893054039565	1.2334636951102311
37.0	144.35012339895275	rating	1.0		138	trustworthiness	136	1.0	1		447.9227690990667	1.158512716612222
37.0	145.50863611556497	fix	2.0		60	trustworthiness	136	1.0	1	-2.88	449.08128181567895	0.5167113816819437
38.0	146.0253474972469	face	0.0		147	trustworthiness	144	1.0	1		449.5979931973609	1.2334621858278751
38.0	147.2588096830748	rating	1.0		126	trustworthiness	144	1.0	1		450.83145538318877	1.0584674985027505
38.0	148.31727718157754	fix	2.0		60	trustworthiness	144	1.0	1	1.3200000000000003	451.8899228816915	0.5167454914706013
39.0	148.83402267304814	face	0.0		147	trustworthiness	024	1.0	1		452.4066683731621	1.233460072832031
39.0	150.06748274588017	rating	1.0		681	trustworthiness	024	1.0	1		453.64012844599415	5.684019292255016
39.0	155.7515020381352	fix	2.0		60	trustworthiness	024	1.0	1	1.1100000000000003	459.32414773824917	0.5000727474257474
40.0	156.25157478556093	cue	0.0		480						459.8242204856749	4.00047300919573
40.0	160.25204779475666	fix	1.0		120						463.82469349487064	1.0168100887701712
40.0	161.26885788352683	face	0.0		147	attractiveness	100	1.0	1		464.8415035836408	1.2334655062495585
40.0	162.5023233897764	rating	1.0		72	attractiveness	100	1.0	1		466.0749690898904	0.6084172092034805
40.0	163.11074059897987	fix	2.0		60	attractiveness	100	1.0	1	1.6100000000000003	466.68338629909385	0.5167379450572298
41.0	163.6274785440371	face	0.0		147	attractiveness	121	1.0	1		467.2001242441511	1.2334727508066408
41.0	164.86095129484374	rating	1.0		61	attractiveness	121	1.0	1		468.4335969949577	0.5167134946775604
41.0	165.3776647895213	fix	2.0		60	attractiveness	121	1.0	1	-3.05	468.9503104896353	0.5168140129051153
42.0	165.89447880242642	face	0.0		147	attractiveness	044	1.0	1		469.4671245025404	1.2333987959545993
42.0	167.12787759838102	rating	1.0		61	attractiveness	044	1.0	1		470.700523298495	0.5167527360276836
42.0	167.6446303344087	fix	2.0		60	attractiveness	044	1.0	1	-0.7599999999999998	471.2172760345227	0.5167364357744191
43.0	168.16136677018312	face	0.0		147	attractiveness	036	1.0	1		471.7340124702971	1.2334890510596779
43.0	169.3948558212428	rating	1.0		560	attractiveness	036	1.0	1		472.9675015213568	4.67553138825042
43.0	174.07038720949322	fix	2.0		60	attractiveness	036	1.0	1	-0.31000000000000005	477.6430329096072	0.5167503211753228
