21.0521 	WARNING 	Actual framerate: 120.01195 (1 frame = 0.00833)
21.0599 	EXP 	Created unnamed Circle = Circle(__class__=<class 'psychopy.visual.circle.Circle'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...))
21.0616 	EXP 	Created unnamed ImageStim = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=None, interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='deg', win=Window(...))
21.1788 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text=str(...), units='deg', win=Window(...), wrapWidth=500)
39.5384 	DATA 	Keypress: t
39.5386 	EXP 	window1: recordFrameIntervals = True
39.6101 	WARNING 	t of last frame was 16.53ms (=1/60)
40.2435 	DATA 	Keypress: t
40.9435 	DATA 	Keypress: t
41.6435 	DATA 	Keypress: t
42.3435 	DATA 	Keypress: t
43.0435 	DATA 	Keypress: t
43.7435 	DATA 	Keypress: t
44.4434 	DATA 	Keypress: t
45.1434 	DATA 	Keypress: t
45.5266 	WARNING 	t of last frame was 83.34ms (=1/11)
45.5266 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
45.5266 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-30.jpg'
45.5685 	WARNING 	t of last frame was 33.57ms (=1/29)
45.8434 	DATA 	Keypress: t
45.9849 	WARNING 	t of last frame was 41.67ms (=1/23)
45.9849 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
45.9849 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-96.jpg'
46.5434 	DATA 	Keypress: t
47.2434 	DATA 	Keypress: t
47.9520 	DATA 	Keypress: t
47.9642 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
48.3932 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
48.3932 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-86.jpg'
48.6433 	DATA 	Keypress: t
49.3433 	DATA 	Keypress: t
50.0433 	DATA 	Keypress: t
50.7913 	DATA 	Keypress: t
50.7932 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
50.7932 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-68.jpg'
51.4433 	DATA 	Keypress: t
52.1434 	DATA 	Keypress: t
52.8433 	DATA 	Keypress: t
53.1848 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
53.1848 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-102.jpg'
53.5433 	DATA 	Keypress: t
54.2433 	DATA 	Keypress: t
54.9433 	DATA 	Keypress: t
55.6015 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
55.6015 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-7.jpg'
55.6433 	DATA 	Keypress: t
56.3433 	DATA 	Keypress: t
57.0433 	DATA 	Keypress: t
57.7432 	DATA 	Keypress: t
58.4432 	DATA 	Keypress: t
58.9765 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
58.9765 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-7.jpg'
59.1433 	DATA 	Keypress: t
59.8433 	DATA 	Keypress: t
60.5433 	DATA 	Keypress: t
61.2432 	DATA 	Keypress: t
61.3931 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
61.3931 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-137.jpg'
61.4182 	DATA 	Keypress: b
61.9432 	DATA 	Keypress: t
62.6432 	DATA 	Keypress: t
63.3515 	DATA 	Keypress: t
63.7930 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
63.7930 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-44.jpg'
64.0432 	DATA 	Keypress: t
64.7432 	DATA 	Keypress: t
65.4432 	DATA 	Keypress: t
66.1431 	DATA 	Keypress: t
66.8431 	DATA 	Keypress: t
67.1847 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
67.1847 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-127.jpg'
67.5432 	DATA 	Keypress: t
68.2432 	DATA 	Keypress: t
68.9432 	DATA 	Keypress: t
69.6432 	DATA 	Keypress: t
70.3431 	DATA 	Keypress: t
70.5846 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
70.5846 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-122.jpg'
71.0431 	DATA 	Keypress: t
71.7431 	DATA 	Keypress: t
72.4431 	DATA 	Keypress: t
72.9846 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
72.9846 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-87.jpg'
73.1431 	DATA 	Keypress: t
73.8431 	DATA 	Keypress: t
74.5435 	DATA 	Keypress: t
75.2430 	DATA 	Keypress: t
75.3845 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
75.3845 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-58.jpg'
75.9430 	DATA 	Keypress: t
76.6431 	DATA 	Keypress: t
77.3508 	DATA 	Keypress: t
77.7929 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
77.7929 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-117.jpg'
78.0431 	DATA 	Keypress: t
78.7431 	DATA 	Keypress: t
79.4431 	DATA 	Keypress: t
80.1431 	DATA 	Keypress: t
80.8431 	DATA 	Keypress: t
81.5430 	DATA 	Keypress: t
82.2430 	DATA 	Keypress: t
82.9430 	DATA 	Keypress: t
83.1845 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
83.1845 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-117.jpg'
83.6430 	DATA 	Keypress: t
84.3429 	DATA 	Keypress: t
85.0429 	DATA 	Keypress: t
85.5928 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
85.5928 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-56.jpg'
85.7429 	DATA 	Keypress: t
85.9262 	DATA 	Keypress: b
86.4429 	DATA 	Keypress: t
87.1429 	DATA 	Keypress: t
87.8429 	DATA 	Keypress: t
88.0261 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
88.0261 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-18.jpg'
88.5429 	DATA 	Keypress: t
89.2430 	DATA 	Keypress: t
89.9470 	DATA 	Keypress: t
90.3928 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
90.3928 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-14.jpg'
90.6429 	DATA 	Keypress: t
91.3429 	DATA 	Keypress: t
92.0429 	DATA 	Keypress: t
92.7429 	DATA 	Keypress: t
93.4431 	DATA 	Keypress: t
93.7928 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
93.7928 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-134.jpg'
94.1429 	DATA 	Keypress: t
94.8429 	DATA 	Keypress: t
95.5429 	DATA 	Keypress: t
96.2429 	DATA 	Keypress: t
96.9429 	DATA 	Keypress: t
97.6429 	DATA 	Keypress: t
98.3428 	DATA 	Keypress: t
99.0428 	DATA 	Keypress: t
99.7428 	DATA 	Keypress: t
100.4428 	DATA 	Keypress: t
101.1428 	DATA 	Keypress: t
101.8428 	DATA 	Keypress: t
102.1927 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
102.1927 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-108.jpg'
102.5428 	DATA 	Keypress: t
103.2428 	DATA 	Keypress: t
103.9428 	DATA 	Keypress: t
104.6428 	DATA 	Keypress: t
105.3434 	DATA 	Keypress: t
106.0427 	DATA 	Keypress: t
106.6009 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
106.6009 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-76.jpg'
106.7428 	DATA 	Keypress: t
107.4427 	DATA 	Keypress: t
108.1427 	DATA 	Keypress: t
108.8427 	DATA 	Keypress: t
109.5480 	DATA 	Keypress: t
109.9926 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
109.9926 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-44.jpg'
110.2427 	DATA 	Keypress: t
110.9427 	DATA 	Keypress: t
111.6427 	DATA 	Keypress: t
112.3842 	DATA 	Keypress: t
112.3925 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
112.3925 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-32.jpg'
113.0427 	DATA 	Keypress: t
113.7427 	DATA 	Keypress: t
114.4426 	DATA 	Keypress: t
114.8009 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
114.8009 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-66.jpg'
115.1427 	DATA 	Keypress: t
115.8426 	DATA 	Keypress: t
116.5426 	DATA 	Keypress: t
117.1925 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
117.1925 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-88.jpg'
117.2427 	DATA 	Keypress: t
117.9426 	DATA 	Keypress: t
118.6426 	DATA 	Keypress: t
119.3426 	DATA 	Keypress: t
120.0426 	DATA 	Keypress: t
120.6008 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
120.6008 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-128.jpg'
120.7426 	DATA 	Keypress: t
121.4426 	DATA 	Keypress: t
122.1426 	DATA 	Keypress: t
122.8425 	DATA 	Keypress: t
123.0008 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
123.0008 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-60.jpg'
123.5426 	DATA 	Keypress: t
124.2425 	DATA 	Keypress: t
124.9425 	DATA 	Keypress: t
125.6425 	DATA 	Keypress: t
126.3991 	DATA 	Keypress: t
126.4007 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
126.4007 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-57.jpg'
127.0425 	DATA 	Keypress: t
127.7425 	DATA 	Keypress: t
128.4425 	DATA 	Keypress: t
129.1425 	DATA 	Keypress: t
129.8007 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
129.8007 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-109.jpg'
129.8425 	DATA 	Keypress: t
130.5425 	DATA 	Keypress: t
131.2425 	DATA 	Keypress: t
131.9425 	DATA 	Keypress: t
132.6425 	DATA 	Keypress: t
133.2006 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
133.2006 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-31.jpg'
133.3424 	DATA 	Keypress: t
134.0424 	DATA 	Keypress: t
134.7424 	DATA 	Keypress: t
135.4424 	DATA 	Keypress: t
135.5923 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
135.5923 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-116.jpg'
136.1424 	DATA 	Keypress: t
136.8424 	DATA 	Keypress: t
137.5424 	DATA 	Keypress: t
138.2424 	DATA 	Keypress: t
138.9424 	DATA 	Keypress: t
139.6424 	DATA 	Keypress: t
140.3424 	DATA 	Keypress: t
141.0424 	DATA 	Keypress: t
141.7423 	DATA 	Keypress: t
142.0005 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
142.0005 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-107.jpg'
142.4424 	DATA 	Keypress: t
143.1424 	DATA 	Keypress: t
143.8423 	DATA 	Keypress: t
144.3922 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
144.3922 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-2.jpg'
144.5423 	DATA 	Keypress: t
145.2423 	DATA 	Keypress: t
145.9423 	DATA 	Keypress: t
146.6423 	DATA 	Keypress: t
146.7922 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
146.7922 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-103.jpg'
147.3423 	DATA 	Keypress: t
148.0423 	DATA 	Keypress: t
148.7423 	DATA 	Keypress: t
149.4423 	DATA 	Keypress: t
150.1423 	DATA 	Keypress: t
150.8423 	DATA 	Keypress: t
151.5422 	DATA 	Keypress: t
152.1921 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
152.1921 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-20.jpg'
152.2422 	DATA 	Keypress: t
152.9422 	DATA 	Keypress: t
153.6422 	DATA 	Keypress: t
154.3422 	DATA 	Keypress: t
155.0422 	DATA 	Keypress: t
155.6087 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
155.6087 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-33.jpg'
155.7422 	DATA 	Keypress: t
156.4422 	DATA 	Keypress: t
157.1422 	DATA 	Keypress: t
157.8421 	DATA 	Keypress: t
158.0004 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
158.0004 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-100.jpg'
158.5422 	DATA 	Keypress: t
159.2421 	DATA 	Keypress: t
159.9421 	DATA 	Keypress: t
160.6421 	DATA 	Keypress: t
161.3421 	DATA 	Keypress: t
162.0421 	DATA 	Keypress: t
162.7421 	DATA 	Keypress: t
163.4086 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
163.4086 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-129.jpg'
163.4422 	DATA 	Keypress: t
164.1421 	DATA 	Keypress: t
164.8421 	DATA 	Keypress: t
165.5421 	DATA 	Keypress: t
166.2421 	DATA 	Keypress: t
166.8003 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
166.8003 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-37.jpg'
166.9421 	DATA 	Keypress: t
167.6420 	DATA 	Keypress: t
168.3420 	DATA 	Keypress: t
169.0420 	DATA 	Keypress: t
169.7420 	DATA 	Keypress: t
170.4420 	DATA 	Keypress: t
171.1420 	DATA 	Keypress: t
171.8420 	DATA 	Keypress: t
172.5420 	DATA 	Keypress: t
173.2085 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
