trial_nr	onset	event_type	phase	response	nr_frames	face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch	onset_abs	duration
-1.0	0.06058444616201086	fix	0.0		713												60.36735589577711	5.95785147666038
-1.0	2.0020172780182293	pulse	0.0	t													62.30878872763333	
-1.0	4.001952983506726	pulse	0.0	t													64.30872443312182	
0.0	6.018435922822391	face	0.0		145	31.0	female	white	2.1822522881018704	neutral	102	sub-01	1.0	2.0	102_neutral	0.0	66.32520737243749	1.233289162300025
0.0	6.008600673734236	pulse	0.0	t		31.0	female	white	2.1822522881018704	neutral	102	sub-01	1.0	2.0	102_neutral	0.0	66.31537212334933	
0.0	7.251725085122416	fix	1.0		447	31.0	female	white	2.1822522881018704	neutral	102	sub-01	1.0	2.0	102_neutral	0.0	67.55849653473751	3.7582164159280183
0.0	8.001850051918609	pulse	1.0	t		31.0	female	white	2.1822522881018704	neutral	102	sub-01	1.0	2.0	102_neutral	0.0	68.30862150153371	
0.0	10.001768249981978	pulse	1.0	t		31.0	female	white	2.1822522881018704	neutral	102	sub-01	1.0	2.0	102_neutral	0.0	70.30853969959708	
1.0	11.009941501050434	face	0.0		147	25.0	female	west_asian	2.6756864305610826	neutral	064	sub-01	1.0	2.0	064_neutral	0.0	71.31671295066553	1.24166737098858
1.0	12.001719651783333	pulse	0.0	t		25.0	female	west_asian	2.6756864305610826	neutral	064	sub-01	1.0	2.0	064_neutral	0.0	72.30849110139843	
1.0	12.251608872039014	fix	1.0		449	25.0	female	west_asian	2.6756864305610826	neutral	064	sub-01	1.0	2.0	064_neutral	0.0	72.55838032165411	3.7582490159620647
1.0	14.00165082948979	pulse	1.0	t		25.0	female	west_asian	2.6756864305610826	neutral	064	sub-01	1.0	2.0	064_neutral	0.0	74.30842227910489	
2.0	16.00985788800108	face	0.0		148	19.0	female	white	4.298846000795861	smiling	100	sub-01	1.0	2.0	100_smiling	0.0	76.31662933761618	1.2415931153554993
