trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_name	task_probe	onset_abs	duration
0.0	0.05987539542638842	baseline	0.0		40.0		baseline	0.0	74.23687456231437	0.3413443891722636
0.0	0.40121978459865204	ISI	1.0		11.0		baseline	0.0	74.57821895148663	0.09999728333013991
1.0	0.501217067928792	baseline	0.0		48.0		baseline	0.0	74.67821623481677	0.39998792591359233
1.0	0.9012049938423843	ISI	1.0		11.0		baseline	0.0	75.07820416073037	0.0999978870349878
2.0	1.001202880877372	baseline	0.0		48.0		baseline	0.0	75.17820204776535	0.3999716258963417
2.0	1.4011745067737138	ISI	1.0		11.0		baseline	0.0	75.5781736736617	0.10000181111308848
3.0	1.5011763178868023	baseline	0.0		48.0		baseline	0.0	75.67817548477478	0.399987624060941
3.0	1.9011639419477433	ISI	1.0		11.0		baseline	0.0	76.07816310883572	0.09999094443537615
4.0	2.0011548863831194	baseline	0.0		47.0		baseline	0.0	76.1781540532711	0.399989737026317
4.0	2.0052754702855964	pulse	0.0	t			baseline	0.0	76.18227463717358	
4.0	2.4011446234094365	ISI	1.0		11.0		baseline	0.0	76.57814379029742	0.09999486851302208
5.0	2.5011394919224585	baseline	0.0		48.0		baseline	0.0	76.67813865881044	0.3999954722175971
5.0	2.9011349641400557	ISI	1.0		11.0		baseline	0.0	77.07813413102804	0.09999154813931455
6.0	3.00112651227937	baseline	0.0		48.0		baseline	0.0	77.17812567916735	0.3999852092438232
6.0	3.4011117215231934	ISI	1.0		11.0		baseline	0.0	77.57811088841117	0.10000694259997545
7.0	3.501118664123169	baseline	0.0		48.0		baseline	0.0	77.67811783101115	0.3999740407139143
7.0	3.901092704837083	ISI	1.0		11.0		baseline	0.0	78.07809187172506	0.10001116852981795
8.0	4.001103873366901	baseline	0.0		47.0		baseline	0.0	78.17810304025488	0.3999806814617841
8.0	4.005222948009305	pulse	0.0	t			baseline	0.0	78.18222211489729	
8.0	4.401084554828685	ISI	1.0		11.0		baseline	0.0	78.57808372171667	0.10000332037361659
9.0	4.501087875202302	baseline	0.0		48.0		baseline	0.0	78.67808704209028	0.39998400183549165
9.0	4.9010718770377935	ISI	1.0		11.0		baseline	0.0	79.07807104392577	0.09999607592180837
10.0	5.001067952959602	baseline	0.0		48.0		baseline	0.0	79.17806711984758	0.3999800777569362
10.0	5.401048030716538	ISI	1.0		11.0		baseline	0.0	79.57804719760452	0.09997313515759743
11.0	5.5010211658741355	baseline	0.0		48.0		baseline	0.0	79.67802033276212	0.40001026297341014
11.0	5.901031428847546	ISI	1.0		11.0		baseline	0.0	80.07803059573553	0.10001720557329463
12.0	6.00104863442084	baseline	0.0		47.0		baseline	0.0	80.17804780130882	0.3999921518438896
12.0	6.005253736929717	pulse	0.0	t			baseline	0.0	80.1822529038177	
