trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_name	task_probe	onset_abs	duration
0.0	0.055763716728051804	baseline	0.0		701		baseline	0.0	30.0421622212275	5.849604768794052
0.0	0.70564293025609	pulse	0.0	t			baseline	0.0	30.692041434755538	
0.0	1.4056264188975547	pulse	0.0	t			baseline	0.0	31.392024923397003	
0.0	2.1055836463297055	pulse	0.0	t			baseline	0.0	32.09198215082915	
0.0	2.8056036591824522	pulse	0.0	t			baseline	0.0	32.7920021636819	
0.0	3.5055279846392295	pulse	0.0	t			baseline	0.0	33.49192648913868	
0.0	4.205534715960766	pulse	0.0	t			baseline	0.0	34.191933220460214	
0.0	4.905520921279276	pulse	0.0	t			baseline	0.0	34.891919425778724	
0.0	5.605474526475518	pulse	0.0	t			baseline	0.0	35.591873030974966	
0.0	5.905368485522104	ISI	1.0		6		baseline	0.0	35.89176699002155	0.1250190544697034
1.0	6.030387539991807	corridor	0.0		45	place	corridor-96.jpg	0.0	36.016786044491255	0.37491982030087456
1.0	6.305433565025396	pulse	0.0	t		place	corridor-96.jpg	0.0	36.291832069524844	
1.0	6.4053073602926816	ISI	1.0		594	place	corridor-96.jpg	0.0	36.39170586479213	5.016543354691294
1.0	7.005416148108452	pulse	1.0	t		place	corridor-96.jpg	0.0	36.9918146526079	
1.0	7.705392995984312	pulse	1.0	t		place	corridor-96.jpg	0.0	37.69179150048376	
1.0	8.405365919771612	pulse	1.0	t		place	corridor-96.jpg	0.0	38.39176442427106	
1.0	9.105358464003075	pulse	1.0	t		place	corridor-96.jpg	0.0	39.09175696850252	
1.0	9.805343763762721	pulse	1.0	t		place	corridor-96.jpg	0.0	39.79174226826217	
1.0	10.50531487643184	pulse	1.0	t		place	corridor-96.jpg	0.0	40.49171338093129	
1.0	11.20528780021914	pulse	1.0	t		place	corridor-96.jpg	0.0	41.19168630471859	
2.0	11.421850714983975	body	0.0		46	body	body-4.jpg	0.0	41.40824921948342	0.38332219998937944
2.0	11.805172914973355	ISI	1.0		230	body	body-4.jpg	0.0	41.7915714194728	2.0166671144152133
2.0	11.905251668416895	pulse	1.0	t		body	body-4.jpg	0.0	41.89165017291634	
2.0	12.605321185159482	pulse	1.0	t		body	body-4.jpg	0.0	42.59171968965893	
2.0	13.305301957124357	pulse	1.0	t		body	body-4.jpg	0.0	43.291700461623805	
3.0	13.821840029388568	instrument	0.0		46	object	instrument-12.jpg	0.0	43.808238533888016	0.3832850720718852
3.0	14.005259788262265	pulse	0.0	t		object	instrument-12.jpg	0.0	43.99165829276171	
3.0	14.205125101460453	ISI	1.0		235	object	instrument-12.jpg	0.0	44.1915236059599	2.016635117998703
3.0	14.70529911970607	pulse	1.0	t		object	instrument-12.jpg	0.0	44.69169762420552	
3.0	15.405244876724737	pulse	1.0	t		object	instrument-12.jpg	0.0	45.391643381224185	
3.0	16.105227459807338	pulse	1.0	t		object	instrument-12.jpg	0.0	46.091625964306786	
4.0	16.221760219459156	word	0.0		46	character	word-79.jpg	0.0	46.208158723958604	0.3833007684270342
4.0	16.60506098788619	ISI	1.0		234	character	word-79.jpg	0.0	46.59145949238564	2.016650512501201
4.0	16.80521185400812	pulse	1.0	t		character	word-79.jpg	0.0	46.79161035850757	
4.0	17.505197153767767	pulse	1.0	t		character	word-79.jpg	0.0	47.491595658267215	
4.0	18.205168870143098	pulse	1.0	t		character	word-79.jpg	0.0	48.191567374642545	
5.0	18.62171150038739	corridor	0.0		46	place	corridor-122.jpg	0.0	48.60811000488684	0.3832929202494597
5.0	18.905129116104945	pulse	0.0	t		place	corridor-122.jpg	0.0	48.89152762060439	
5.0	19.00500442063685	ISI	1.0		353	place	corridor-122.jpg	0.0	48.9914029251363	3.016616704966964
5.0	19.60513705483845	pulse	1.0	t		place	corridor-122.jpg	0.0	49.5915355593379	
5.0	20.305114204567417	pulse	1.0	t		place	corridor-122.jpg	0.0	50.291512709066865	
5.0	21.005093165414564	pulse	1.0	t		place	corridor-122.jpg	0.0	50.99149166991401	
5.0	21.705085709645573	pulse	1.0	t		place	corridor-122.jpg	0.0	51.69148421414502	
6.0	22.021621125603815	word	0.0		46	character	word-59.jpg	0.0	52.00801963010326	0.3832787331593863
6.0	22.4048998587632	ISI	1.0		234	character	word-59.jpg	0.0	52.39129836326265	2.0166559458543816
6.0	22.452504489308467	pulse	1.0	t		character	word-59.jpg	0.0	52.438902993807915	
6.0	23.105041820221686	pulse	1.0	t		character	word-59.jpg	0.0	53.091440324721134	
6.0	23.805034666306256	pulse	1.0	t		character	word-59.jpg	0.0	53.7914331708057	
7.0	24.421555804617583	corridor	0.0		46	place	corridor-84.jpg	0.0	54.40795430911703	0.3832998628686255
7.0	24.50498102703068	pulse	0.0	t		place	corridor-84.jpg	0.0	54.49137953153013	
7.0	24.80485566748621	ISI	1.0		235	place	corridor-84.jpg	0.0	54.791254171985656	2.016639343940369
7.0	25.205007680649032	pulse	1.0	t		place	corridor-84.jpg	0.0	55.19140618514848	
7.0	25.904977585906636	pulse	1.0	t		place	corridor-84.jpg	0.0	55.891376090406084	
7.0	26.60495020784083	pulse	1.0	t		place	corridor-84.jpg	0.0	56.59134871234028	
8.0	26.821495011426578	word	0.0		46	character	word-111.jpg	0.0	56.807893515926025	0.3832871850427182
8.0	27.204782196469296	ISI	1.0		233	character	word-111.jpg	0.0	57.191180700968744	2.016630590204386
8.0	27.30503874132137	pulse	1.0	t		character	word-111.jpg	0.0	57.291437245820816	
8.0	28.004918996242395	pulse	1.0	t		character	word-111.jpg	0.0	57.99131750074184	
8.0	28.704895240412498	pulse	1.0	t		character	word-111.jpg	0.0	58.691293744911945	
9.0	29.22141278667368	child	0.0		46	face	child-142.jpg	0.0	59.20781129117313	0.38331012586968427
9.0	29.404835262224424	pulse	0.0	t		face	child-142.jpg	0.0	59.39123376672387	
9.0	29.604722912543366	ISI	1.0		233	face	child-142.jpg	0.0	59.591121417042814	2.0166130827306006
9.0	30.104857086194897	pulse	1.0	t		face	child-142.jpg	0.0	60.091255590694345	
9.0	30.804846611896664	pulse	1.0	t		face	child-142.jpg	0.0	60.79124511639611	
9.0	31.504824365331388	pulse	1.0	t		face	child-142.jpg	0.0	61.491222869830835	
10.0	31.621335995273967	child	0.0		46	face	child-97.jpg	0.0	61.607734499773414	0.3833264259310454
10.0	32.00466242120501	ISI	1.0		235	face	child-97.jpg	0.0	61.99106092570446	2.0166354198518093
10.0	32.20480634470823	pulse	1.0	t		face	child-97.jpg	0.0	62.19120484920768	
10.0	32.90478651296735	pulse	1.0	t		face	child-97.jpg	0.0	62.891185017466796	
10.0	33.60475913490154	pulse	1.0	t		face	child-97.jpg	0.0	63.59115763940099	
11.0	34.02129784105682	corridor	0.0		46	place	corridor-9.jpg	0.0	64.00769634555627	0.3832929202494597
11.0	34.30476556436997	pulse	0.0	t		place	corridor-9.jpg	0.0	64.29116406886942	
11.0	34.40459076130628	ISI	1.0		715	place	corridor-9.jpg	0.0	64.39098926580573	6.016515282363798
11.0	35.00472279180212	pulse	1.0	t		place	corridor-9.jpg	0.0	64.99112129630157	
11.0	35.70470597859094	pulse	1.0	t		place	corridor-9.jpg	0.0	65.69110448309038	
11.0	36.404692787615204	pulse	1.0	t		place	corridor-9.jpg	0.0	66.39109129211465	
11.0	37.104655750254096	pulse	1.0	t		place	corridor-9.jpg	0.0	67.09105425475354	
11.0	37.804645577808515	pulse	1.0	t		place	corridor-9.jpg	0.0	67.79104408230796	
11.0	38.50463117942127	pulse	1.0	t		place	corridor-9.jpg	0.0	68.49102968392071	
11.0	39.20460319764925	pulse	1.0	t		place	corridor-9.jpg	0.0	69.1910017021487	
11.0	39.90459453446874	pulse	1.0	t		place	corridor-9.jpg	0.0	69.89099303896819	
12.0	40.42110604367008	word	0.0		46	character	word-60.jpg	0.0	70.40750454816953	0.3833170684883953
12.0	40.60453908407544	pulse	0.0	t		character	word-60.jpg	0.0	70.59093758857489	
12.0	40.804423112158474	ISI	1.0		592	character	word-60.jpg	0.0	70.79082161665792	5.016565691812502
12.0	41.304558191369324	pulse	1.0	t		character	word-60.jpg	0.0	71.29095669586877	
12.0	42.004547717070636	pulse	1.0	t		character	word-60.jpg	0.0	71.99094622157008	
12.0	42.70455595765725	pulse	1.0	t		character	word-60.jpg	0.0	72.6909544621567	
