trial_nr	onset	event_type	phase	response	nr_frames	face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch	onset_abs	duration
-1.0	0.06092359165268135	fix	0.0		713												17.343303738660325	5.957889999339386
-1.0	0.7024052551405475	pulse	0.0	t													17.98478540214819	
-1.0	1.4023676140732277	pulse	0.0	t													18.68474776108087	
-1.0	2.102353517539086	pulse	0.0	t													19.38473366454673	
-1.0	2.8023270450321434	pulse	0.0	t													20.084707192039787	
-1.0	3.502311439231562	pulse	0.0	t													20.784691586239205	
-1.0	4.202306096434768	pulse	0.0	t													21.48468624344241	
-1.0	4.90226905907366	pulse	0.0	t													22.184649206081303	
-1.0	5.602250736597853	pulse	0.0	t													22.884630883605496	
0.0	6.0188135909920675	face	0.0		144	24.0	male	white	3.1153999204138483	neutral	012	sub-05	1.0	4.0	012_neutral	0.0	23.30119373799971	1.2332677608028462
0.0	6.302242677122194	pulse	0.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-05	1.0	4.0	012_neutral	0.0	23.584622824129838	
0.0	7.002231297265098	pulse	0.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-05	1.0	4.0	012_neutral	0.0	24.28461144427274	
0.0	7.252081351794914	fix	1.0		445	24.0	male	white	3.1153999204138483	neutral	012	sub-05	1.0	4.0	012_neutral	0.0	24.534461498802557	3.758246849936768
0.0	7.702216295170729	pulse	1.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-05	1.0	4.0	012_neutral	0.0	24.984596442178372	
0.0	8.4022028023428	pulse	1.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-05	1.0	4.0	012_neutral	0.0	25.684582949350443	
0.0	9.102164859423283	pulse	1.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-05	1.0	4.0	012_neutral	0.0	26.384545006430926	
0.0	9.802151064741338	pulse	1.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-05	1.0	4.0	012_neutral	0.0	27.08453121174898	
0.0	10.502132138559318	pulse	1.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-05	1.0	4.0	012_neutral	0.0	27.78451228556696	
1.0	11.010328201731681	face	0.0		146	32.0	male	white	2.389176283326701	smiling	092	sub-05	1.0	4.0	092_smiling	0.0	28.292708348739325	1.2416514256074151
1.0	11.202111099406466	pulse	0.0	t		32.0	male	white	2.389176283326701	smiling	092	sub-05	1.0	4.0	092_smiling	0.0	28.48449124641411	
1.0	11.902093682489067	pulse	0.0	t		32.0	male	white	2.389176283326701	smiling	092	sub-05	1.0	4.0	092_smiling	0.0	29.18447382949671	
1.0	12.251979627339097	fix	1.0		444	32.0	male	white	2.389176283326701	smiling	092	sub-05	1.0	4.0	092_smiling	0.0	29.53435977434674	3.758197346047382
1.0	12.602083208190379	pulse	1.0	t		32.0	male	white	2.389176283326701	smiling	092	sub-05	1.0	4.0	092_smiling	0.0	29.884463355198022	
1.0	13.30205250974177	pulse	1.0	t		32.0	male	white	2.389176283326701	smiling	092	sub-05	1.0	4.0	092_smiling	0.0	30.584432656749414	
1.0	14.00203992247225	pulse	1.0	t		32.0	male	white	2.389176283326701	smiling	092	sub-05	1.0	4.0	092_smiling	0.0	31.284420069479893	
1.0	14.702017374054776	pulse	1.0	t		32.0	male	white	2.389176283326701	smiling	092	sub-05	1.0	4.0	092_smiling	0.0	31.98439752106242	
1.0	15.401986071899955	pulse	1.0	t		32.0	male	white	2.389176283326701	smiling	092	sub-05	1.0	4.0	092_smiling	0.0	32.6843662189076	
2.0	16.01017697338648	face	0.0		146	22.0	female	white	4.614007162753682	smiling	009	sub-05	1.0	4.0	009_smiling	0.0	33.29255712039412	1.2416677256678668
2.0	16.101977408719904	pulse	0.0	t		22.0	female	white	4.614007162753682	smiling	009	sub-05	1.0	4.0	009_smiling	0.0	33.38435755572755	
2.0	16.80194550285887	pulse	0.0	t		22.0	female	white	4.614007162753682	smiling	009	sub-05	1.0	4.0	009_smiling	0.0	34.084325649866514	
2.0	17.251844699054345	fix	1.0		444	22.0	female	white	4.614007162753682	smiling	009	sub-05	1.0	4.0	009_smiling	0.0	34.53422484606199	3.75819432751814
2.0	17.50195012121003	pulse	1.0	t		22.0	female	white	4.614007162753682	smiling	009	sub-05	1.0	4.0	009_smiling	0.0	34.78433026821767	
2.0	18.201923950555283	pulse	1.0	t		22.0	female	white	4.614007162753682	smiling	009	sub-05	1.0	4.0	009_smiling	0.0	35.48430409756293	
2.0	18.901938530054395	pulse	1.0	t		22.0	female	white	4.614007162753682	smiling	009	sub-05	1.0	4.0	009_smiling	0.0	36.18431867706204	
2.0	19.60188247595579	pulse	1.0	t		22.0	female	white	4.614007162753682	smiling	009	sub-05	1.0	4.0	009_smiling	0.0	36.88426262296343	
2.0	20.301858418271877	pulse	1.0	t		22.0	female	white	4.614007162753682	smiling	009	sub-05	1.0	4.0	009_smiling	0.0	37.58423856527952	
3.0	21.010039026572485	face	0.0		147	26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	38.29241917358013	1.2416677256678668
3.0	21.00284949217712	pulse	0.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	38.28522963918476	
3.0	21.701833847439048	pulse	0.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	38.98421399444669	
3.0	22.251706752240352	fix	1.0		236	26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	39.534086899247995	2.008289486671856
3.0	22.401806469373696	pulse	1.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	39.68418661638134	
3.0	23.101788448750085	pulse	1.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	40.38416859575773	
3.0	23.801768918861853	pulse	1.0	t		26.0	female	white	4.854755272582572	neutral	027	sub-05	1.0	4.0	027_neutral	1.0	41.0841490658695	
