trial_nr	onset	event_type	phase	response	nr_frames	face_age	face_sex	face_eth	attractiveness	expression	face_id	sub_id	ses	run	trial_type	catch	rating_type	onset_abs	duration
-1.0	0.05755428040174593	fix	0.0		714													108.8099798061512	5.966251520575497
-1.0	0.7074542167110849	pulse	0.0	t														109.45987974246054	
-1.0	1.4074291630572588	pulse	0.0	t														110.15985468880672	
-1.0	2.1074095427256907	pulse	0.0	t														110.85983506847515	
-1.0	2.8073835835175487	pulse	0.0	t														111.55980910926701	
-1.0	3.5073576243098614	pulse	0.0	t														112.25978315005932	
-1.0	4.20733468361459	pulse	0.0	t														112.95976020936405	
-1.0	4.907305705894487	pulse	0.0	t														113.65973123164395	
-1.0	5.607299668869018	pulse	0.0	t														114.35972519461848	
0.0	6.023805800977243	face	0.0		144	20.0	male	black	3.1070433744528456	smiling	082	sub-07	1.0	1.0	082_smiling	0.0		114.7762313267267	1.23332407656153
0.0	6.307273709661331	pulse	0.0	t		20.0	male	black	3.1070433744528456	smiling	082	sub-07	1.0	1.0	082_smiling	0.0		115.05969923541079	
0.0	7.007248052304931	pulse	0.0	t		20.0	male	black	3.1070433744528456	smiling	082	sub-07	1.0	1.0	082_smiling	0.0		115.75967357805439	
0.0	7.257129877538773	fix	1.0		445	20.0	male	black	3.1070433744528456	smiling	082	sub-07	1.0	1.0	082_smiling	0.0		116.00955540328823	3.758179414348433
0.0	7.707213943112947	pulse	1.0	t		20.0	male	black	3.1070433744528456	smiling	082	sub-07	1.0	1.0	082_smiling	0.0		116.4596394688624	
0.0	8.407198548699398	pulse	1.0	t		20.0	male	black	3.1070433744528456	smiling	082	sub-07	1.0	1.0	082_smiling	0.0		117.15962407444886	
0.0	9.10717892836783	pulse	1.0	t		20.0	male	black	3.1070433744528456	smiling	082	sub-07	1.0	1.0	082_smiling	0.0		117.85960445411729	
0.0	9.807149648795985	pulse	1.0	t		20.0	male	black	3.1070433744528456	smiling	082	sub-07	1.0	1.0	082_smiling	0.0		118.55957517454544	
0.0	10.507116747009604	pulse	1.0	t		20.0	male	black	3.1070433744528456	smiling	082	sub-07	1.0	1.0	082_smiling	0.0		119.25954227275906	
1.0	11.015309291887206	face	0.0		146	28.0	male	white	3.9076800636689217	smiling	033	sub-07	1.0	1.0	033_smiling	0.0		119.76773481763666	1.2416587933798837
1.0	11.207117350711997	pulse	0.0	t		28.0	male	white	3.9076800636689217	smiling	033	sub-07	1.0	1.0	033_smiling	0.0		119.95954287646146	
1.0	11.90707629894132	pulse	0.0	t		28.0	male	white	3.9076800636689217	smiling	033	sub-07	1.0	1.0	033_smiling	0.0		120.65950182469078	
1.0	12.25696808526709	fix	1.0		445	28.0	male	white	3.9076800636689217	smiling	033	sub-07	1.0	1.0	033_smiling	0.0		121.00939361101655	3.7665262052164508
1.0	12.60706513044488	pulse	1.0	t		28.0	male	white	3.9076800636689217	smiling	033	sub-07	1.0	1.0	033_smiling	0.0		121.35949065619434	
1.0	13.307037963832045	pulse	1.0	t		28.0	male	white	3.9076800636689217	smiling	033	sub-07	1.0	1.0	033_smiling	0.0		122.0594634895815	
1.0	14.00700445834309	pulse	1.0	t		28.0	male	white	3.9076800636689217	smiling	033	sub-07	1.0	1.0	033_smiling	0.0		122.75942998409255	
1.0	14.70698393245766	pulse	1.0	t		28.0	male	white	3.9076800636689217	smiling	033	sub-07	1.0	1.0	033_smiling	0.0		123.45940945820712	
1.0	15.406960086208528	pulse	1.0	t		28.0	male	white	3.9076800636689217	smiling	033	sub-07	1.0	1.0	033_smiling	0.0		124.15938561195799	
2.0	16.02349429048354	face	0.0		145	36.0	female	white	2.7548746518105847	smiling	011	sub-07	1.0	1.0	011_smiling	0.0		124.775919816233	1.2333071728912728
2.0	16.10694982326595	pulse	0.0	t		36.0	female	white	2.7548746518105847	smiling	011	sub-07	1.0	1.0	011_smiling	0.0		124.85937534901541	
2.0	16.806928995529688	pulse	0.0	t		36.0	female	white	2.7548746518105847	smiling	011	sub-07	1.0	1.0	011_smiling	0.0		125.55935452127915	
2.0	17.256801463374813	fix	1.0		445	36.0	female	white	2.7548746518105847	smiling	011	sub-07	1.0	1.0	011_smiling	0.0		126.00922698912427	3.758191790249839
2.0	17.50689186782529	pulse	1.0	t		36.0	female	white	2.7548746518105847	smiling	011	sub-07	1.0	1.0	011_smiling	0.0		126.25931739357475	
2.0	18.206884019693007	pulse	1.0	t		36.0	female	white	2.7548746518105847	smiling	011	sub-07	1.0	1.0	011_smiling	0.0		126.95930954544247	
2.0	18.90684296792233	pulse	1.0	t		36.0	female	white	2.7548746518105847	smiling	011	sub-07	1.0	1.0	011_smiling	0.0		127.65926849367179	
2.0	19.60686289010482	pulse	1.0	t		36.0	female	white	2.7548746518105847	smiling	011	sub-07	1.0	1.0	011_smiling	0.0		128.35928841585428	
2.0	20.306814895755906	pulse	1.0	t		36.0	female	white	2.7548746518105847	smiling	011	sub-07	1.0	1.0	011_smiling	0.0		129.05924042150536	
3.0	21.014993253624652	face	0.0		147	54.0	female	white	2.286908077994429	neutral	136	sub-07	1.0	1.0	136_neutral	0.0		129.7674187793741	1.2416476248831714
3.0	21.00880017145164	pulse	0.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-07	1.0	1.0	136_neutral	0.0		129.7612256972011	
3.0	21.70675814771994	pulse	0.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-07	1.0	1.0	136_neutral	0.0		130.4591836734694	
3.0	22.256640878507824	fix	1.0		444	54.0	female	white	2.286908077994429	neutral	136	sub-07	1.0	1.0	136_neutral	0.0		131.00906640425728	3.758315549263898
3.0	22.406742753305934	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-07	1.0	1.0	136_neutral	0.0		131.1591682790554	
3.0	23.106710455222128	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-07	1.0	1.0	136_neutral	0.0		131.8591359809716	
3.0	23.806694758956837	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-07	1.0	1.0	136_neutral	0.0		132.5591202847063	
3.0	24.50666789419529	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-07	1.0	1.0	136_neutral	0.0		133.25909341994475	
3.0	25.20664102943374	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-07	1.0	1.0	136_neutral	0.0		133.9590665551832	
3.0	25.906617183184608	pulse	1.0	t		54.0	female	white	2.286908077994429	neutral	136	sub-07	1.0	1.0	136_neutral	0.0		134.65904270893407	
4.0	26.014956427771722	face	0.0		147	30.0	female	black	2.7345801830481498	neutral	062	sub-07	1.0	1.0	062_neutral	0.0		134.76738195352118	1.2414985103637264
4.0	26.606597864704327	pulse	0.0	t		30.0	female	black	2.7345801830481498	neutral	062	sub-07	1.0	1.0	062_neutral	0.0		135.35902339045379	
4.0	27.256454938135448	fix	1.0		445	30.0	female	black	2.7345801830481498	neutral	062	sub-07	1.0	1.0	062_neutral	0.0		136.0088804638849	3.7582947215273634
4.0	27.30657552771163	pulse	1.0	t		30.0	female	black	2.7345801830481498	neutral	062	sub-07	1.0	1.0	062_neutral	0.0		136.0590010534611	
4.0	28.00656888698404	pulse	1.0	t		30.0	female	black	2.7345801830481498	neutral	062	sub-07	1.0	1.0	062_neutral	0.0		136.7589944127335	
4.0	28.706534777792058	pulse	1.0	t		30.0	female	black	2.7345801830481498	neutral	062	sub-07	1.0	1.0	062_neutral	0.0		137.45896030354152	
4.0	29.406514855609657	pulse	1.0	t		30.0	female	black	2.7345801830481498	neutral	062	sub-07	1.0	1.0	062_neutral	0.0		138.15894038135912	
4.0	30.106479237161693	pulse	1.0	t		30.0	female	black	2.7345801830481498	neutral	062	sub-07	1.0	1.0	062_neutral	0.0		138.85890476291115	
4.0	30.806446637226145	pulse	1.0	t		30.0	female	black	2.7345801830481498	neutral	062	sub-07	1.0	1.0	062_neutral	0.0		139.5588721629756	
5.0	31.01474965966281	face	0.0		146	54.0	female	white	2.286908077994429	smiling	136	sub-07	1.0	1.0	136_smiling	0.0		139.76717518541227	1.2415507306309337
5.0	31.506441505754992	pulse	0.0	t		54.0	female	white	2.286908077994429	smiling	136	sub-07	1.0	1.0	136_smiling	0.0		140.25886703150445	
5.0	32.20641071692717	pulse	0.0	t		54.0	female	white	2.286908077994429	smiling	136	sub-07	1.0	1.0	136_smiling	0.0		140.95883624267663	
5.0	32.256300390293745	fix	1.0		445	54.0	female	white	2.286908077994429	smiling	136	sub-07	1.0	1.0	136_smiling	0.0		141.0087259160432	3.7582563864179974
5.0	32.90639592621528	pulse	1.0	t		54.0	female	white	2.286908077994429	smiling	136	sub-07	1.0	1.0	136_smiling	0.0		141.65882145196474	
5.0	33.606367250346466	pulse	1.0	t		54.0	female	white	2.286908077994429	smiling	136	sub-07	1.0	1.0	136_smiling	0.0		142.35879277609592	
5.0	34.30635396889102	pulse	1.0	t		54.0	female	white	2.286908077994429	smiling	136	sub-07	1.0	1.0	136_smiling	0.0		143.05877949464048	
5.0	35.006408905819626	pulse	1.0	t		54.0	female	white	2.286908077994429	smiling	136	sub-07	1.0	1.0	136_smiling	0.0		143.75883443156908	
5.0	35.70630959675691	pulse	1.0	t		54.0	female	white	2.286908077994429	smiling	136	sub-07	1.0	1.0	136_smiling	0.0		144.45873512250637	
6.0	36.01455677671174	face	0.0		146	24.0	male	white	3.1153999204138483	neutral	012	sub-07	1.0	1.0	012_neutral	0.0		144.7669823024612	1.2415848398222806
6.0	36.40629873011176	pulse	0.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-07	1.0	1.0	012_neutral	0.0		145.15872425586122	
6.0	37.10628967457433	pulse	0.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-07	1.0	1.0	012_neutral	0.0		145.8587152003238	
6.0	37.25614161653402	fix	1.0		445	24.0	male	white	3.1153999204138483	neutral	012	sub-07	1.0	1.0	012_neutral	0.0		146.00856714228348	3.758258801228294
6.0	37.80624379318351	pulse	1.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-07	1.0	1.0	012_neutral	0.0		146.55866931893297	
6.0	38.5062127025044	pulse	1.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-07	1.0	1.0	012_neutral	0.0		147.25863822825386	
6.0	39.20619308217283	pulse	1.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-07	1.0	1.0	012_neutral	0.0		147.9586186079223	
6.0	39.906170745180134	pulse	1.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-07	1.0	1.0	012_neutral	0.0		148.6585962709296	
6.0	40.60613874894716	pulse	1.0	t		24.0	male	white	3.1153999204138483	neutral	012	sub-07	1.0	1.0	012_neutral	0.0		149.35856427469662	
7.0	41.01440041776232	face	0.0		146	24.0	female	east_asian	4.409868682849185	smiling	030	sub-07	1.0	1.0	030_smiling	0.0		149.76682594351178	1.241586650930003
7.0	41.30612244897975	pulse	0.0	t		24.0	female	east_asian	4.409868682849185	smiling	030	sub-07	1.0	1.0	030_smiling	0.0		150.0585479747292	
7.0	42.00610735641703	pulse	0.0	t		24.0	female	east_asian	4.409868682849185	smiling	030	sub-07	1.0	1.0	030_smiling	0.0		150.7585328821665	
7.0	42.25598706869232	fix	1.0		445	24.0	female	east_asian	4.409868682849185	smiling	030	sub-07	1.0	1.0	030_smiling	0.0		151.00841259444178	3.7665171496792027
7.0	42.706082906465326	pulse	1.0	t		24.0	female	east_asian	4.409868682849185	smiling	030	sub-07	1.0	1.0	030_smiling	0.0		151.45850843221478	
7.0	43.40605664540635	pulse	1.0	t		24.0	female	east_asian	4.409868682849185	smiling	030	sub-07	1.0	1.0	030_smiling	0.0		152.1584821711558	
7.0	44.10603038434738	pulse	1.0	t		24.0	female	east_asian	4.409868682849185	smiling	030	sub-07	1.0	1.0	030_smiling	0.0		152.85845591009684	
7.0	44.80601197142096	pulse	1.0	t		24.0	female	east_asian	4.409868682849185	smiling	030	sub-07	1.0	1.0	030_smiling	0.0		153.55843749717042	
7.0	45.505989634427806	pulse	1.0	t		24.0	female	east_asian	4.409868682849185	smiling	030	sub-07	1.0	1.0	030_smiling	0.0		154.25841516017726	
8.0	46.02250421837152	face	0.0		145	21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-07	1.0	1.0	036_neutral	0.0		154.77492974412098	1.233313813618679
8.0	46.20596729743511	pulse	0.0	t		21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-07	1.0	1.0	036_neutral	0.0		154.95839282318457	
8.0	46.90592775492087	pulse	0.0	t		21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-07	1.0	1.0	036_neutral	0.0		155.65835328067033	
8.0	47.2558180319902	fix	1.0		445	21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-07	1.0	1.0	036_neutral	0.0		156.00824355773966	3.758216843903483
8.0	47.60589726794433	pulse	1.0	t		21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-07	1.0	1.0	036_neutral	0.0		156.3583227936938	
8.0	48.305918699383255	pulse	1.0	t		21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-07	1.0	1.0	036_neutral	0.0		157.0583442251327	
8.0	49.005871912439034	pulse	1.0	t		21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-07	1.0	1.0	036_neutral	0.0		157.7582974381885	
8.0	49.7058504810002	pulse	1.0	t		21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-07	1.0	1.0	036_neutral	0.0		158.45827600674966	
8.0	50.40583086066863	pulse	1.0	t		21.0	male	east_asian/white	3.501790688420215	neutral	036	sub-07	1.0	1.0	036_neutral	0.0		159.1582563864181	
9.0	51.014034875893685	face	0.0		146	24.0	female	east_asian	2.9076800636689217	neutral	034	sub-07	1.0	1.0	034_neutral	0.0		159.76646040164314	1.2416274008496657
9.0	51.10581244774221	pulse	0.0	t		24.0	female	east_asian	2.9076800636689217	neutral	034	sub-07	1.0	1.0	034_neutral	0.0		159.85823797349167	
9.0	51.80581335329589	pulse	0.0	t		24.0	female	east_asian	2.9076800636689217	neutral	034	sub-07	1.0	1.0	034_neutral	0.0		160.55823887904535	
9.0	52.25566227674335	fix	1.0		445	24.0	female	east_asian	2.9076800636689217	neutral	034	sub-07	1.0	1.0	034_neutral	0.0		161.0080878024928	3.7665096033974805
9.0	52.505764755243945	pulse	1.0	t		24.0	female	east_asian	2.9076800636689217	neutral	034	sub-07	1.0	1.0	034_neutral	0.0		161.2581902809934	
9.0	53.20572913679598	pulse	1.0	t		24.0	female	east_asian	2.9076800636689217	neutral	034	sub-07	1.0	1.0	034_neutral	0.0		161.95815466254544	
9.0	53.905731551606095	pulse	1.0	t		24.0	female	east_asian	2.9076800636689217	neutral	034	sub-07	1.0	1.0	034_neutral	0.0		162.65815707735555	
9.0	54.60568506651316	pulse	1.0	t		24.0	female	east_asian	2.9076800636689217	neutral	034	sub-07	1.0	1.0	034_neutral	0.0		163.35811059226262	
9.0	55.30567118135514	pulse	1.0	t		24.0	female	east_asian	2.9076800636689217	neutral	034	sub-07	1.0	1.0	034_neutral	0.0		164.0580967071046	
10.0	56.02217188014083	face	0.0		145	22.0	female	west_asian	3.8205332272184642	neutral	066	sub-07	1.0	1.0	066_neutral	1.0	trustworthiness	164.7745974058903	1.2333113988088371
