trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_name	task_probe	onset_abs	duration
0.0	0.05910428658989986	baseline	0.0		700		baseline	0.0	31.7170714995068	5.841174020266408
0.0	0.700583478473618	pulse	0.0	t			baseline	0.0	32.35855069139052	
0.0	1.4005421248521088	pulse	0.0	t			baseline	0.0	33.05850933776901	
0.0	2.1005240137765213	pulse	0.0	t			baseline	0.0	33.75849122669342	
0.0	2.8004932249486956	pulse	0.0	t			baseline	0.0	34.4584604378656	
0.0	3.50046968055085	pulse	0.0	t			baseline	0.0	35.15843689346775	
0.0	4.200442815789302	pulse	0.0	t			baseline	0.0	35.8584100287062	
0.0	4.900416554730327	pulse	0.0	t			baseline	0.0	36.55838376764723	
0.0	5.600387878861056	pulse	0.0	t			baseline	0.0	37.25835509177796	
0.0	5.900278306856308	ISI	1.0		5		baseline	0.0	37.55824551977321	0.1250098856285149
1.0	6.0252881924848225	house	0.0		45	place	house-64.jpg	0.0	37.683255405401724	0.37492612190544605
1.0	6.300322980841884	pulse	0.0	t		place	house-64.jpg	0.0	37.958290193758785	
1.0	6.4002143143902686	ISI	1.0		475	place	house-64.jpg	0.0	38.05818152730717	4.016561370887757
1.0	7.000310001237722	pulse	1.0	t		place	house-64.jpg	0.0	38.65827721415462	
1.0	7.70028343832746	pulse	1.0	t		place	house-64.jpg	0.0	39.35825065124436	
1.0	8.40025204579706	pulse	1.0	t		place	house-64.jpg	0.0	40.05821925871396	
1.0	9.10024299025963	pulse	1.0	t		place	house-64.jpg	0.0	40.75821020317653	
1.0	9.800207673662953	pulse	1.0	t		place	house-64.jpg	0.0	41.458174886579855	
2.0	10.416775685278026	adult	0.0		46	face	adult-77.jpg	0.0	42.07474289819493	0.3833000793870269
2.0	10.50018654407495	pulse	0.0	t		face	adult-77.jpg	0.0	42.15815375699185	
2.0	10.800075764665053	ISI	1.0		834	face	adult-77.jpg	0.0	42.458042977581954	7.0164916432477185
2.0	11.20016450893354	pulse	1.0	t		face	adult-77.jpg	0.0	42.85813172185044	
2.0	11.900135531212982	pulse	1.0	t		face	adult-77.jpg	0.0	43.55810274412988	
2.0	12.600198919976265	pulse	1.0	t		face	adult-77.jpg	0.0	44.258166132893166	
2.0	13.300167225594578	pulse	1.0	t		face	adult-77.jpg	0.0	44.95813443851148	
2.0	14.000145492304455	pulse	1.0	t		face	adult-77.jpg	0.0	45.658112705221356	
2.0	14.700121646055322	pulse	1.0	t		face	adult-77.jpg	0.0	46.35808885897222	
2.0	15.400102629426328	pulse	1.0	t		face	adult-77.jpg	0.0	47.05806984234323	
2.0	16.100076066516067	pulse	1.0	t		face	adult-77.jpg	0.0	47.75804327943297	
2.0	16.800055842481925	pulse	1.0	t		face	adult-77.jpg	0.0	48.458023055398826	
2.0	17.500028977720376	pulse	1.0	t		face	adult-77.jpg	0.0	49.15799619063728	
3.0	17.81656740791277	adult	0.0		46	face	adult-36.jpg	0.0	49.47453462082967	0.38325359429381933
3.0	18.19982100220659	ISI	1.0		233	face	adult-36.jpg	0.0	49.85778821512349	2.0166347207423314
3.0	18.251959769264886	pulse	1.0	t		face	adult-36.jpg	0.0	49.90992698218179	
